 [1] " flubber second best example take life film remake adaptation hysterically enough distributed disney "                                                                                                                                         
 [2] " kind film may slightly entertaining tiny kids anyone else will feel left boring slow incredibly lifeless "                                                                                                                                    
 [3] " film cinematic magic instead dead water shame great film "                                                                                                                                                                                    
 [4] "hypothetically mean "                                                                                                                                                                                                                          
 [5] " flubber probably know remake disney classic never saw absent minded professor well absent minded professor played fred mcmurray created erratic substance known flubber know flying rubber "                                                  
 [6] " new one keeps basic plot appears added lot else like absentmindedness part proffessor villains several showstopping moments like big rumba flubber elaborate setups none really make better instead make worse "                              
 [7] " basic plot revolves around college professor philip brainerd robin williams creates lots lots inventions sadly absent minded "                                                                                                                
 [8] " fact hes forgotten wedding colleges president sara jean reynolds indie actress marcia gay harden two times forgets beginning "                                                                                                                
 [9] "doesnt warrant kind mental treatment "                                                                                                                                                                                                         
[10] "anyway wedding day third one invents flubber bounces everything like super ball speed can also change shape like aliens water form abyss "                                                                                                     
[11] "philip believes invention fully realized will save college threat shut millionaire tycoonvillain chester hoenicker raymond j barry ironically enough college brat son will wheaton thought dead goes "                                         
[12] " plot twist hoenickers goons named smith wesson ha ha great sense humor film played clancy brown ted levine needed pay check discover hard way try steal hoenicker wants just cause hes evil enough "                                          
[13] " subplot involves philips attempts win back sara whos angry good reason seduced basically philips belloq wilson croft christopher mcdonald playing hysterically suaveyetunsuave asswhole "                                                     
[14] " another subplot philips daytimer robot weebo voiced oneandonly jodi benson falls love "                                                                                                                                                       
[15] "yuckityyuck "                                                                                                                                                                                                                                  
[16] "whats pathetic film dull "                                                                                                                                                                                                                     
[17] " dont need cynical college student able see right film another long line cheap attempts making quick buck disney essentially become puff daddy film industry halfassedly remixing classics nonclassics distribution general public sadly eats "
[18] "earlier released jungle jungle adaptation really awful french film un indien dans la ville yeah improved original much "                                                                                                                       
[19] "disneys bad shape warner brothers right now creatively "                                                                                                                                                                                       
[20] " rush ship film distribution disney forgotten give film little thing called magic "                                                                                                                                                            
[21] " scenes dancing flubber flying car basketball team pretty much sucks flying around thanks carefully placed flubber elaborate ending fail amaze delight even cause people laugh "                                                               
[22] " sat entire film stone faced chuckling perhaps twice shaking head bad jokes "                                                                                                                                                                  
[23] " really laugh scene philip enters wrong classroom starts teaching chemistry "                                                                                                                                                                  
[24] "didnt think "                                                                                                                                                                                                                                  
[25] " doesnt help protagonist essentially unfunny even really respectable "                                                                                                                                                                         
[26] "philip lovable absent minded professory just really dumb man played robin williams "                                                                                                                                                           
[27] "williams brilliant comic actor okay brilliant actor general hes given little occasionally get hyper something times act sad "                                                                                                                  
[28] " times hes bad "                                                                                                                                                                                                                               
[29] " supposed think man whos forgotten wedding thrice "                                                                                                                                                                                            
[30] "maybe funny andor respectable s "                                                                                                                                                                                                              
[31] " like disney usually enjoy films animated live action recent films save hercules good great worse lackluster theyve pathetic "                                                                                                                 
[32] " jungle jungle probably worst film saw last year "                                                                                                                                                                                             
[33] " flubber s probably second "                                                                                                                                                                                                                   
[34] " need "                                                                                                                                                                                                                                        
[35] "perhaps create something new "                                                                                                                                                                                                                 
[36] "get writers can write something thats universally entertaining "                                                                                                                                                                               
[37] "films like parent trap mary poppins films live action latter case mix even can still watch theyre written magical children fun adults "                                                                                                        
[38] "whats torturous taking child film insults annoys every turn "                                                                                                                                                                                  
[39] " god couldnt done something else edie mcclurg "                                                                                                                                                                                                
