 [1] "susan grangers review session usa films "                                                                                                                                                                                                   
 [2] "sometimes just get bargained like bostonbased hazmat elimination run scottish actor peter mullan trusty assistant david caruso assures town engineer paul guilifoyle can remove insidious asbestos fibers victorian hospital facility week "
 [3] "erected deserted decomposing since danvers mental hospital one malevolent locations ever chosen film "                                                                                                                                      
 [4] " structure massive labyrinth rubblestrewn corridors collapsing floors stagnant pools water isolation cells ominous surgical chambers experimental prefrontal lobotomies performed task seems impossible within time frame "                 
 [5] " member inexperienced crew stephan gevedon brandon sexton iii josh lucas coping personal demons one one minds seem affected grim areas theyre working "                                                                                     
 [6] " films title derived salvaged reeltoreel audiorecorded sessions involving demonic possession young woman suffering multiple personalities "                                                                                                 
 [7] " time session occurs dreadful disasters "                                                                                                                                                                                                   
 [8] "filmmaker brad anderson obviously envisioned gruesome chainsawmassacretype ghost story script lacks structure isnt particularly scary "                                                                                                     
 [9] " conclusion ludicrous convincing "                                                                                                                                                                                                          
[10] " granger movie gauge session dark gloomy silly "                                                                                                                                                                                            
[11] "first thought original name danvers lunatic asylum bore reference mrs danvers creepy housekeeper played judith anderson alfred hitchcocks truly terrifying rebecca also involved cavernous mansion called manderley "                       
