 [1] " tina fetch axe "                                                                                                                                               
 [2] " favourite book mine called golden turkey awards relates story mommie dearest unleashed upon unsuspecting audiences back paramount soon realised problem hands "
 [3] " wasnt just films disappointing box office performance "                                                                                                        
 [4] "indeed coming years people going back see two three even six times "                                                                                            
 [5] " main problem intended serious biopic screen queen joan crawford turning laugh riot year "                                                                      
 [6] " desperate attempt capitalise unexpected turn events publicity hacks dreamed outrageous print advertisements screaming mommie dearest biggest mommie "          
 [7] "executives paramount appalled soon ads withdrawn late "                                                                                                         
 [8] "mommie dearest already cementing place camp cinema history "                                                                                                    
 [9] "unfortunately faye dunaways energetic times ridiculously overthetop performance films redeeming feature "                                                       
[10] "based daughter christina crawfords trashy biography mommie dearest chronicles series mainly private events life moviestar mother "                              
[11] " believe movie life racked obsession lonliness child abuse rampant egomania "                                                                                   
[12] " film begins crawford adopting two children concludes office lawyer now grownup daughter son find left mothers will "                                           
[13] "joan always wanted kids able fend see "                                                                                                                         
[14] " thats thread narrative manages survive films end "                                                                                                             
[15] " script laboured four writers bad sign poorly connected series episodes builds little dramatic momentum "                                                       
[16] "frank perrys direction competent dunaways bitchy lines aside dialogue flat uninvolving "                                                                        
[17] " fairness films second half ditches cartoon hysterics develop degree empathy characters "                                                                       
[18] " adult christina moves home modest dwelling joan visits keeps touch helping financially encouraging christinas acting career ambitions "                        
[19] "crawford seem care daughter can sense emotional distance feel pain "                                                                                            
[20] " also get glimpses film hands better writers "                                                                                                                  
[21] "ah dunaways performance "                                                                                                                                       
[22] " delicious piece campery often "                                                                                                                                
[23] " just sacked studio run box office duds crawford storms home late night proceeds go ballistic garden "                                                          
[24] " maid drag kids bed come clean mess shes making "                                                                                                               
[25] "spotting young tree doesnt like look turns trembling christina utters immortal line tina "                                                                      
[26] "fetch axe "                                                                                                                                                     
[27] " proceeds enthusiastically dismember poor sapling "                                                                                                             
[28] " films outrageous scene joan realises daughters clothes hanging wire coat hangers "                                                                             
[29] "oh dear "                                                                                                                                                       
[30] "sounds like perfect excuse another temper tantrum doesnt "                                                                                                      
[31] " time gives daughter horrible beating delivering another classic outburst wire hangers ever "                                                                   
[32] " later board late husbands company pepsi cola tries divest directorship displays superb grasp business etiquette jumping feet roaring dont fuck fellas "        
[33] "oh joy "                                                                                                                                                        
[34] "something camp classic thats youre cup tea mommie dearest doesnt much recommend "                                                                               
[35] "better see real crawford women mildred pierce whatever happened baby jane "                                                                                     
[36] "great films distinguished great performances far eloquent testament great woman frank perrys shrieking piece tabloid froth "                                    
