 [1] " two things american film industry avoid costs "                                                                                                                         
 [2] "one letting ambitious actor convert one favorite novels feature film "                                                                                                   
 [3] "two never greenlight scifi film starring john travolta "                                                                                                                 
 [4] " wit present disaster battlefield earth "                                                                                                                                
 [5] " sciencefiction opus starring barbarino actors guild battlefield earth shown maximumsecurity prisons prisoner tossed solitary bad behavior "                             
 [6] "scifi always tricky beast tight script good director ensemble cast decent actors ability suspend even difficult disbeliefs "                                             
 [7] "battlefield earth fails achieving even one attributes "                                                                                                                  
 [8] "heres plot "                                                                                                                                                             
 [9] " year "                                                                                                                                                                  
[10] "mankind become endangered species thanks conquest race aliens called psychlos sounds like either latest clown act cirque de soleil white rap group "                     
[11] " small band humans dwell radioactive caves located rockies fear demons dwell cities "                                                                                    
[12] " psychlos stripmining earth resources terel played travolta head security miningslave base located denver "                                                              
[13] " young rogue named jonnie goodboy tyler played dramatic flair barry pepper ventures safety caves city uncover truth demons "                                             
[14] " promptly captured taken alien base "                                                                                                                                    
[15] " several attempts escape johnnie placed middle underhanded subplot terels involving circumventing gold exposed vein rockies end "                                        
[16] "jonnie assumed leader mining slave group manages attain psychlo human intelligence learning machine terel forces use "                                                   
[17] " story just runs along jonnie teaches rest humans basics trigonometry bill rights use machine gun fly harrier jet "                                                      
[18] " whole mess concludes big loud obnoxious gunandplane battle praying end credits "                                                                                        
[19] "roger christian director lumbering beast must rented dune blade runner planet apes independence day stargate beastmaster airwolf episodes v miniseries matrix omega man "
[20] " decided steal every scene battlefield earth "                                                                                                                           
[21] "christian even shoots every scene weird dutch angle titled left right every frame movie "                                                                                
[22] " every scene movie ends middle wipe really "                                                                                                                             
[23] " psychlos reminded cross jamaican basketball players bad teeth bloated hands klingon extras working star trek convention circuit "                                       
[24] "travoltas acting hasnt bad since experts maybe perfect "                                                                                                                 
[25] "jonnie goodboy tyler evolves william wallace lines like can freedom fight "                                                                                              
[26] " theres script film just never convinces plight jonnie teaching fellow humans fight take back planet difficult task achieve "                                            
[27] " "                                                                                                                                                                       
[28] " terel provides necessary tools incite revolt particular reason beside fact humans stupid "                                                                              
[29] "terel may right know "                                                                                                                                                   
[30] "humans made movie "                                                                                                                                                      
