 [1] " believe real life mean julia roberts youd ugly underdog sister creepy catherine zetajones "                                                                                                                               
 [2] "let tell reality "                                                                                                                                                                                                         
 [3] "reality megastar julia fricking roberts brother eric roberts picks whatever crumbs stardom fall coattails blaze across sky golden chariot "                                                                                
 [4] "thats reality "                                                                                                                                                                                                            
 [5] "americas sweethearts opposite reality train wreck tries sell julia scruffy alsoran presumably wears hornrimmed glasses used overweight uhhuh "                                                                             
 [6] " plot follows two married megamovie stars gwen eddie zetajones poor poor john cusack whose material gets worse every year eve new star vehicles release film called time time "                                            
 [7] " problem gwen eddie gone nasty separation press public forgiving think meg dennis "                                                                                                                                        
 [8] "gosh director vanished film holding print hostage "                                                                                                                                                                        
 [9] "veteran pr agent lee billy crystal called upon clean mess throwing press junket nevada desert woo story possible reconciliation gwen eddie presumably distracting stupid stupid film critics forgetting havent seen movie "
[10] " note sony studio executive thinks plot going win points reviewing press needs check rehab "                                                                                                                               
[11] " mention gwens sister kiki roberts along ride "                                                                                                                                                                            
[12] " eddie just might fall love along way "                                                                                                                                                                                    
[13] "oh billy youre scamp "                                                                                                                                                                                                     
[14] " script youve cowritten peter tolan planet "                                                                                                                                                                               
[15] " bedazzled need say roast hollywood celebrity sure funny one "                                                                                                                                                             
[16] "yes crystal tells us hollywood lying faces "                                                                                                                                                                               
[17] " surprised might want check subscription people magazine "                                                                                                                                                                 
[18] " expire "                                                                                                                                                                                                                  
[19] "aside scant zingers yeah se winces rules "                                                                                                                                                                                 
[20] "americas sweethearts jokes arent funny pace choppy whole affair comes vanity project headlining star julia roberts billy crystal deliver bunch lame punch lines wrote "                                                    
[21] " didnt time movies bad crystal really screen time unequivocal focus film "                                                                                                                                                 
[22] "bad move billy jokes suck "                                                                                                                                                                                                
[23] " crotch humor outpaced meanness movies gags unsubtle sexual innuendo dripping every scene movie earned pg rating mystery "                                                                                                 
[24] "julia overcame lot spiteful writing acting make best friends wedding winning film even tooth smile can save "                                                                                                              
[25] "obviously aware ugliness director joe roth turns goofy supporting characters like hank azaria lisping spaniard christopher walken insane time time director alan arkin new age guru fright wig crack wise "                
[26] "none stereotypes successful except walken azaria comes preening queen hes supposed macho "                                                                                                                                 
[27] " roth case dont know went direcing revenge nerds ii launching movie studio revolution produced work "                                                                                                                      
[28] "hes back behind camera first time years "                                                                                                                                                                                  
[29] "itll probably another hes back "                                                                                                                                                                                           
[30] " drone americas sweethearts will appeal mouthbreathing morons talk cell phones movies get old "                                                                                                                            
[31] "instead ill settle discussing movies worst sin sweethearts painfully contrived wholly unbelievable just plot sentiment "                                                                                                   
[32] "every single character film arguable exception kiki simply hateful putting romantic comedy waste bunch villains "                                                                                                          
[33] " leave theater youll ask want jerks happy "                                                                                                                                                                                
