 [1] " damn dirty apes "                                                                                                                                                                                                    
 [2] "thats just one inadvertenty hilarious lines planet apes thats taken comedic context time "                                                                                                                            
 [3] " one back seemed realize overthe top charlton hestons acting style shows now particularly mystery science theater wannabe taken film masterpiece time actually winning one oscar makeup less nominated couple others "
 [4] " also spawned multiple sequels like beneath planet apes escape planet apes return planet apes beneath escape return planet apes planet apes next generation police academy apes "                                     
 [5] " list goes "                                                                                                                                                                                                          
 [6] "heston american astronaut spends thousand light years space three companions ends planet dissimilar earth "                                                                                                           
 [7] " thing planet humans cant talk think guys gorilla masks dominant species "                                                                                                                                            
 [8] "hestons companions killed turned vegetables apon imprisoned "                                                                                                                                                         
 [9] " surprises gift speech making two primate scientists roddy mcdowall kim hunter believe heston missing link ape man "                                                                                                  
[10] "believe movie critics thinking thing years "                                                                                                                                                                          
[11] " two apes present idea judicial counsel head ape shakespearean actor maurice evans received heresy good monkeys know god created ape image "                                                                          
[12] " heston already seen cave contains evidence humans originally dominant species apes ever gained ability speak run president "                                                                                         
[13] " takes holding baby doll yelling humans couldnt speak account talking doll "                                                                                                                                          
[14] " account acting ability mr heston "                                                                                                                                                                                   
[15] " absolute laughable scene comes movies surprise conclusion "                                                                                                                                                          
[16] " wont reveal details except say involves heston falling knees beach yelling god damn hell "                                                                                                                           
[17] "several times succession "                                                                                                                                                                                            
[18] " movie atrocious viewed members society like watch bad movies laugh "                                                                                                                                                 
[19] " makes planet apes even amusing supposed function sort social irony condemnation fundamentals reject theories evolution "                                                                                             
[20] " let tell darwin see ape masks hear rotten dialogue exchanges heston female ape may kiss go "                                                                                                                         
[21] "ape "                                                                                                                                                                                                                 
[22] "youre "                                                                                                                                                                                                               
[23] "ugly hed convert creationism spot "                                                                                                                                                                                   
[24] "luckily us sciencefiction movies evolved time point actually good "                                                                                                                                                   
