 [1] "tristar rated r language sexual situations violence minutes "                                                                                                                                                                                                                                                
 [2] "director writer darren stein "                                                                                                                                                                                                                                                                               
 [3] "cast rose mcgowan rebecca gayheart judy greer julie benz chad christ ethan erickson carol kane pam grier tatyana m ali "                                                                                                                                                                                     
 [4] "review geoff berkshire "                                                                                                                                                                                                                                                                                     
 [5] "jawbreaker definition ripoff "                                                                                                                                                                                                                                                                               
 [6] " uninspired teen comedy takes equal parts carrie heathers clueless mixes necessary teen movie clich s "                                                                                                                                                                                                      
 [7] "along way writerdirector darren stein forgets give film life "                                                                                                                                                                                                                                               
 [8] " film opens voice geeky fern mayo judy greer four popular girls reagan high courtney shayne rose mcgowan can basically summed satan heels julie freeman rebecca gayheart good girl face supermodel marcie fox julie benz dimwitted blonde demands people call foxy liz purr charlotte roldan angel disguise "
 [9] "liz everyones favorite shes beautiful kind "                                                                                                                                                                                                                                                                 
[10] "liz turn prank courtney convinces girls help kidnapping liz birthday morning "                                                                                                                                                                                                                               
[11] " order keep liz making noise courtney stuffs jawbreaker mouth gag "                                                                                                                                                                                                                                          
[12] " stuff liz trunk courtneys car open later polaroid camera waiting capture moment lives will never poor liz swallowed jawbreaker choked death lodged throat audience treated many graphic looks lizs dead body "                                                                                              
[13] "courtney thinking fast decides pass death rapemurder marcie reluctant julie assist "                                                                                                                                                                                                                         
[14] "things get complicated fern discovers three girls "                                                                                                                                                                                                                                                          
[15] " order keep quiet courtney comes another plan transforms geeky fern vylette hoping will also help replace liz minds devastated students "                                                                                                                                                                    
[16] " point film effective enough "                                                                                                                                                                                                                                                                               
[17] "however investigation begins lizs death film becomes excessively dull "                                                                                                                                                                                                                                      
[18] " recently rediscovered talents pam grier thoroughly wasted role detective vera cruz film downright insipid treatment characters audience long middle stretch "                                                                                                                                               
[19] "courtneys plan frame sleazy guy marilyn manson brief cameo never believable second "                                                                                                                                                                                                                         
[20] "meanwhile audience stuck watching string random events fail develop characters add anything interest plot "                                                                                                                                                                                                  
[21] "julie leaves group begins lame romance aspiring actor zack chad christ "                                                                                                                                                                                                                                     
[22] " apparently gives courage turn courtney way things develop make julie look stupid "                                                                                                                                                                                                                          
[23] "ferns rise popularity equally lame "                                                                                                                                                                                                                                                                         
[24] " get best scene film one spark originality section "                                                                                                                                                                                                                                                         
[25] " smart subversive bit courtney gets high schools resident jock stud dane ethan erickson demonstrate using popsicle exactly like "                                                                                                                                                                            
[26] " least provides us look courtneys personality way scene finishes doesnt make sense "                                                                                                                                                                                                                         
[27] "stein conscious teen movie tradition working freely borrows major plot elements also includes direct acknowledgment stunt casting "                                                                                                                                                                          
[28] "william katt p j soles students carrie lizs distraught parents jeff conaway grease julies creepy single dad carol kane frightened babysitter stranger calls camps principal miss sherman "                                                                                                                   
[29] " times jawbreaker feels simply like teen cinemas greatest hits audience cheated watered interpretations best genre offer "                                                                                                                                                                                   
[30] " notable aspect jawbreaker incredibly stylish look "                                                                                                                                                                                                                                                         
[31] " costume design vickie brinkford production design jerry fleming bright vivid "                                                                                                                                                                                                                              
[32] " apparently instructed work color palette jawbreaker screen always splashed bits vibrant color "                                                                                                                                                                                                             
[33] "director photography amy vicent beautifully lensed eves bayou remarkable job well "                                                                                                                                                                                                                          
[34] "shot composition camera movement consistently impressive "                                                                                                                                                                                                                                                   
[35] "performances mostly subpar mcgowan providing good moments compared excellent work doom generation scream gayheart making biggest impression due sweet nature character obvious beauty "                                                                                                                      
[36] "none actors look set foot inside high school within last five years exception actresssinger tatyana ali small role cheerleader "                                                                                                                                                                             
[37] " male cast resemble male models credited names like auto stud college stud high school stud "                                                                                                                                                                                                                
[38] " soundtrack decent imperial teens catchy yoo hoo makes bigger impression aspect film "                                                                                                                                                                                                                       
