 [1] " education know happiness "                                                                                                                                                                                       
 [2] "starring sylvia chang teresa hu hsu ming li lieh mao hsuehwei directed edward yang written yang wu nienchen cinematography christopher doyle chang huikung "                                                      
 [3] "every country eventually new wave "                                                                                                                                                                               
 [4] "france nouvelle vague brazil cinema novo china fifth generation "                                                                                                                                                 
 [5] " waves just take longer others wash us cleansing us balm discovery "                                                                                                                                              
 [6] "taiwans new wave came s work directors like hou hsiaohsien wan jen edward yang day beachyangs first featureis central "                                                                                           
 [7] " created new language young taiwanese directors even first attempts speak language hesitant faltering "                                                                                                           
 [8] "later works refined techniques yang first explored giving taiwan distinctive international presence "                                                                                                             
 [9] " day long frustrating document nations attempt find voice "                                                                                                                                                       
[10] " lack ambition "                                                                                                                                                                                                  
[11] " anatomizes urban life modern taiwan manner antonioni elaborating alienation westernized whitecollar middleclass feel lives shaped oldfashioned rolesdedicated career men loyal housewivesthat find unfulfilling "
[12] "jiali sylvia chang focus film brings others compassher husband brother friends college daysas charts discontents "                                                                                                
[13] " one happy "                                                                                                                                                                                                      
[14] "jiali married husband welei young age "                                                                                                                                                                           
[15] " time brother urged arranged marriage despite affection another woman jialis marriage seemed comparison good one chose welei free will loved "                                                                    
[16] " goes wrong "                                                                                                                                                                                                     
[17] " day dutifully presents clich s welei becomes absorbed career indulges affair coworker jiali feels restless trapped bound choice made young longer seems wise "                                                   
[18] " film never redeems clich s conveying feel authentic experience intensity lived pain much seems trite belaboured "                                                                                                
[19] " unfolds awkwardly series flashbacks told luncheon vienna jiali meets brothers old flame teresa hu now concert pianist seen since college "                                                                       
[20] " women seem rather sad resigned sadness "                                                                                                                                                                         
[21] " circumstances jialis brother college friend suggest much made wrong choicesmarried wrong man chosen wrong career path etc rather choices available inadequate "                                                  
[22] " jiali married wrong man didnt "                                                                                                                                                                                  
[23] " problem needed marry alland marry still just unhappy "                                                                                                                                                           
[24] " woman modern taiwan day tells us cards stacked dice loaded can play game house always wins "                                                                                                                     
[25] " films sympathetic feminist implications presumably reason caused controversy upon release taiwan "                                                                                                               
[26] "seen now seem provocative "                                                                                                                                                                                       
[27] "indeed hard imagine anyone felt passionate enough film generate controversy may ambitious may innovative also terribly terribly dull "                                                                            
[28] " new taiwan necessarily new rest us yang adopts methods established years antonioni others use methods fumbling uncertain undisciplined "                                                                         
[29] " bring anything newother localeto material "                                                                                                                                                                      
[30] " moments day takes emotional richness strives forin young couples first kiss awkward meeting woman husbands mistressbut brief "                                                                                   
[31] " often yang devotes needless time mundane scenesgrocery shopping flowerarrangingin nothing happens little said emotion imparted "                                                                                 
[32] "perhaps film content focus reflective inward moments leaving us guess thoughts feelings might ambiguous suggestive insinuating "                                                                                  
[33] " jiali disaffected companions brood silence talk problems length detail redundantly eliminate subtleties "                                                                                                        
[34] " two hours fortyfive minutes seems exorbitantly long indulgently longwinded "                                                                                                                                     
[35] "consider defining moment jiali titular day beach "                                                                                                                                                                
[36] " thrust whole film explains easily enough think moment means walks away particular situation "                                                                                                                    
[37] "even film one two characters explain us verbally case may missed point "                                                                                                                                          
[38] "needless time devoted expressing remained unexpressed problem throughout "                                                                                                                                        
[39] " look film tedious drawnout narrative "                                                                                                                                                                           
[40] " first feature shot christopher doyleat least name creditswho now rightly regarded one worlds leading cinematographers "                                                                                          
[41] " freewheeling expressionism work directors like chen kaige wong karwai seems incapable fashioning boring image "                                                                                                  
[42] " never know watching day due either doyles inexperience yangs humdrum direction almost perverse insistence making physical environment seem drab banal possible "                                                 
[43] " scrutinizing long decay marriage day manages capture ennui experience none damage none heartbreak "                                                                                                              
