 [1] " like "                                                                                                                                                                                                                                                                 
 [2] " get annoyed seeing people talk cellulars public places shouting loud giving ratts ass anyone around basically just wallowing selfimportance "                                                                                                                          
 [3] "well will likely agree rating film since basically features trio annoying ladies bickering away phone hour half make hug end "                                                                                                                                          
 [4] "aaaaaaaahhhh "                                                                                                                                                                                                                                                          
 [5] "plot three grownup sisters living separate lives begin reestablish communication lines dear old dad falls ill "                                                                                                                                                         
 [6] "critique good movie wasnt fact got little say features uncaring people sharing annoying phone conversations chockfull bad acting moments provides less emotional satisfaction thirdrate afterschool special "                                                           
 [7] " im nice "                                                                                                                                                                                                                                                              
 [8] " junk like gets made beyond happy ephron sisters will finally dealt professional blow considering regurgitation level material just reached limit "                                                                                                                     
 [9] " true emotional moment demonstrated meg ryans character dad film hugs swings around christmas tree lot "                                                                                                                                                                
[10] "wow "                                                                                                                                                                                                                                                                   
[11] "deep "                                                                                                                                                                                                                                                                  
[12] " course christmas tune thats played every ephron flick chimes background characters continue build bonds among one another making reference old quaint movies movie stars "                                                                                             
[13] "stop im "                                                                                                                                                                                                                                                               
[14] "gonna cry "                                                                                                                                                                                                                                                             
[15] " film mess "                                                                                                                                                                                                                                                            
[16] " characters boring irritating watch plot something three selfish sisters talking phone whole lot kind liking father really finally realizing error ways sharing emotional moment movie stars s "                                                                        
[17] "admittedly expecting much film whose television trailer features meg ryan screaming every two seconds big dog rolling eyes even surprised level ineptitude came acting efforts put forth film "                                                                         
[18] "meg fine sister cries lot looking adorable ever someone please put lisa kudrow inside permanent home limited range cause woman basically character plays every single movietv show shes "                                                                               
[19] "enough already "                                                                                                                                                                                                                                                        
[20] " diane keaton mustve spent time thinking role behind camera one cause acting amateurish best "                                                                                                                                                                          
[21] "neither one convinced emotional scenes "                                                                                                                                                                                                                                
[22] "granted gave walter matthau best lines film thats probably rating three points comes "                                                                                                                                                                                  
[23] " movie funny unless youre one chuckle train wrecks provides zero drama unless consider loud phone conversations moving generates absolutely emotion although tear meg hugged coffee machine ends perfectly pretentious note oh please dont get flour donna karan dress "
[24] "ugh "                                                                                                                                                                                                                                                                   
[25] " suggest ladies take husbandsboyfriends see movie pissed something "                                                                                                                                                                                                    
[26] "thatll teach em mess "                                                                                                                                                                                                                                                  
[27] "oh incidentally mrs joblo also likened movie piece cow dung flailing wind "                                                                                                                                                                                             
[28] " maybe "                                                                                                                                                                                                                                                                
[29] "youll like "                                                                                                                                                                                                                                                            
[30] " "                                                                                                                                                                                                                                                                      
