 [1] " friend invites movie "                                                                                                                                                                                                       
 [2] " film evade explosions special effects standard summer fare grounded reality "                                                                                                                                                
 [3] " plot follows terrifying incident mother independent daughter separate father move away city "                                                                                                                                
 [4] " need fresh air get perspective maybe start "                                                                                                                                                                                 
 [5] "romance begins brew however one locals played international superstar rugged clothing sparks things especially countrywestern slow dance "                                                                                    
 [6] " stars rising young starlet helms good cast directed one better actorturneddirectors hollywood "                                                                                                                              
 [7] " accept "                                                                                                                                                                                                                     
 [8] " jump opportunity see believe horse whisperer "                                                                                                                                                                               
 [9] " poor moviegoer conned "                                                                                                                                                                                                      
[10] "alas find watching incredulously hope floats "                                                                                                                                                                                
[11] "oh woe "                                                                                                                                                                                                                      
[12] " hope sunk "                                                                                                                                                                                                                  
[13] " movie made "                                                                                                                                                                                                                 
[14] " released "                                                                                                                                                                                                                   
[15] " travesty nearly every level authority sink careers nearly everyone involved "                                                                                                                                                
[16] " hands better script film gem "                                                                                                                                                                                               
[17] " clueless succeeds transferring cluelessness us poor viewers "                                                                                                                                                                
[18] "hope floats stars sandra bullock birdy discovering husband cheating best friend national television less takes daughter drives back home helmed countryish bumpkin eccentric played gena rowlands decorates stuffed wildlife "
[19] "birdys nephew travis played leave beavers cameron finley custody one films many failed injokes always seen wearing different halloween costume "                                                                              
[20] " point "                                                                                                                                                                                                                      
[21] " make sense "                                                                                                                                                                                                                 
[22] " supposed funny "                                                                                                                                                                                                             
[23] " point film show family eccentric convinced grandma locked endangering mental welfare child "                                                                                                                                 
[24] " undercuts plot none "                                                                                                                                                                                                        
[25] " many scenes supposed register emotion "                                                                                                                                                                                      
[26] "theres scene birdy used prom queen humbled approaching peer mocked job "                                                                                                                                                      
[27] "theres scene birdy dances father hospital alzheimers "                                                                                                                                                                        
[28] " theres sentimental scenes justin played harry connick jr taking liking showing beautiful pad built scratch "                                                                                                                 
[29] " scenes sidetracked earlier question "                                                                                                                                                                                        
[30] " sort eccentric grandmother go great pains provide dog costume kermit costume cowboy costume whip full furred barney costume grandson wear dinner "                                                                           
[31] " sort warped ramifications lead rest life "                                                                                                                                                                                   
[32] "outside sure signs screenwriters block "                                                                                                                                                                                      
[33] " daughter stands bully school "                                                                                                                                                                                               
[34] " birdy almost loses job "                                                                                                                                                                                                     
[35] " family pulls goofy lipsynch cheer someone "                                                                                                                                                                                  
[36] " someone dies "                                                                                                                                                                                                               
[37] " daughter cries wails exasperation father coming back "                                                                                                                                                                       
[38] " movie like notice strings pushed sit comatose hoping will end "                                                                                                                                                              
[39] " can survive debacle "                                                                                                                                                                                                        
[40] " worry bullocks career running autopilot last years "                                                                                                                                                                         
[41] " attitude solid perkiness can drive busbut cant handle emotional scenes much less hold southern accent "                                                                                                                      
[42] "harry connick jr worsestick singing get acting lessons please "                                                                                                                                                               
[43] "gena rowlands best part film "                                                                                                                                                                                                
[44] " shes good actress staggers mind shes weighed lukewarm material "                                                                                                                                                             
[45] " severe tragedy recurring star john cassavettes great films known film "                                                                                                                                                      
[46] "two notes forest whittaker cut slowmotion sequences "                                                                                                                                                                         
[47] " twelve times undercut direction failed trick "                                                                                                                                                                               
[48] " done shaved tenminutes almost unbearable debacle "                                                                                                                                                                           
[49] " youve know something wrong cinematographers filter makes candlelight appear like little x s "                                                                                                                                
[50] "youre bad director cant change terrible script "                                                                                                                                                                              
[51] "theres recurring scene birdy working neighborhood fotomat finds machine go wrong image destroyed warped dark image appear "                                                                                                   
[52] "think "                                                                                                                                                                                                                       
[53] " succession destroyed images may entertaining movie "                                                                                                                                                                         
