 [1] "attention moviegoers enter meaningfree zone "                                                                                                                                            
 [2] " sound system malfunction viewing cigarettes panic "                                                                                                                                     
 [3] " film will work just well silent movie "                                                                                                                                                 
 [4] "chronicling meaningless lives vain yuppie types movie covers ground wilt stillman films last days disco barcelona metropolitan without acerbic wit inviting style writing "              
 [5] "firsttime writer shana larsen makes mistake creating couple dozen characters giving depth "                                                                                              
 [6] " isnt one characters worth caring "                                                                                                                                                      
 [7] " movie features cornucopia hot young stars looks like celluloid version people magazine "                                                                                                
 [8] "among others movie features ben affleck casey affleck david chappelle janeane garofalo gaby hoffmann catherine kellner courtney love jay mohr martha plimpton christina ricci paul rudd "
 [9] " unlike people magazine people speak anything interesting say "                                                                                                                          
[10] " new years eve monica martha plimpton preparing big party "                                                                                                                              
[11] "structured series relatively unrelated stories guests way party director risa bramon garcia flits back forth among stars "                                                               
[12] "monicas apartment noho area one guests describes cool poor people live "                                                                                                                 
[13] "typical shallow couples movie kevin paul rudd friend wouldbe sexual partner lucy courtney love "                                                                                         
[14] " argue whether lucy slut since sleeps everyone except course "                                                                                                                           
[15] " dares go immediately bathroom stall sex turns neither erotic funny successful rather like rest story "                                                                                  
[16] " movie gets title carton cigarettes lucy gives kevin new years eve birthday "                                                                                                            
[17] " cigarettes shield emotional interaction people kevin later tells lucy snippet dialog sounds profound outside context movie "                                                            
[18] "another character played jay mohr problem sexual triumphs "                                                                                                                              
[19] "every woman beds falls deeply love next morning "                                                                                                                                        
[20] " latest conquest tells affection response like lot people "                                                                                                                              
[21] " movie finally draws close characters awaken postparty game musical beds "                                                                                                               
[22] " passed early alcohol abuse remember little others actually clue happened "                                                                                                              
[23] " movie forgettable time reach car parking lot trace film will vanished mind probably best thing can said movie "                                                                         
[24] " cigarettes runs "                                                                                                                                                                       
[25] " rated r profanity sex one dope smoking scene acceptable older teenagers "                                                                                                               
