 [1] " absurd remake "                                                                                                                                                                                                               
 [2] " toss gus van sants psycho mighty joe young new disney picture based old rko picture "                                                                                                                                         
 [3] " knew trouble polished computergenerated version famous rko logo appeared head credits "                                                                                                                                       
 [4] " great demand another giant ape moviemake ape movie period "                                                                                                                                                                   
 [5] " witness quick deaths buddy born wild congo "                                                                                                                                                                                  
 [6] " latest entry inoffensive watchable also assembly line product lacking charm unpredictability jungle serials partly inspired "                                                                                                 
 [7] "theron jill young young girl wilds africa befriended baby gorilla mothers slain poachers "                                                                                                                                     
 [8] " baby gorilla nicknamed joe grows immense proportions adult jill basically bides time looking playing hide seek guarding poachers "                                                                                            
 [9] "enter conservationist greg paxton convinces jill move joe california can protect better controlled environment "                                                                                                               
[10] "joe restless first sooner finally settle new place nasty poachers show l plotting joes demise "                                                                                                                                
[11] "suffice say movie called joe ape city "                                                                                                                                                                                        
[12] "theron good devils advocate paxton good recent simple plan fine actors fine enough transcend material paintbynumbers script hack writers superman iv mercury rising "                                                          
[13] " plot arguably borrows steven spielbergs lost world original computergenerated trexi mean joewreaking havoc busy streets encore storytelling becomes especially lazy final third jill shouting look joes headed movie theatre "
[14] "followed shot joe scaling manns chinese theater moment later jill shouts something like look joes headed amusement park know theres joe pallisades carnival scaring bejesus innocent thrillseekers "                           
[15] " seams lastminute edits mighty joe young showunrelated scenes patched together quick dissolves "                                                                                                                               
[16] " movie sure feels uneven regardless act two underdeveloped little joe smashing cars act three goes long long way "                                                                                                             
[17] "underwood tremors speechless perhaps director job even plentiful untamed landscape looks dull hands "                                                                                                                          
[18] " capturing beauty nature requires point shoot style "                                                                                                                                                                          
[19] " enjoy certain sequences especially demoliton blacktie dinner sequence prologue however implausible touching "                                                                                                                 
[20] " tyke joe acts just like e t rick bakers makeup effects puppetry outstanding real star showyet technical flawlessness creature remains grumpy homicidal love "                                                                 
[21] " facial expressions variations scowl "                                                                                                                                                                                         
[22] " fair saw mighty joe young cinema packed wailing childrenits wonder able decipher dialogue "                                                                                                                                   
[23] " certainly film young kidsintense fighting scenes may scare time joes camera may bore tears "                                                                                                                                  
[24] " note older boys likely dazzled therons colourful array tank tops "                                                                                                                                                            
[25] " suspect bland mighty joe young passable entertainment family outing sure dont make em like used "                                                                                                                             
