 [1] " s falling hoped joel schumacher mature great director "                                                                                                                                           
 [2] "since offered us two soso adaptations john grisham novels client time kill two batman movies lowered standards franchise "                                                                         
 [3] "although disappointments dampened enthusiasm schumachers potential publicity latest release mm raised new hope "                                                                                   
 [4] " promised something unusual "                                                                                                                                                                      
 [5] " wasnt "                                                                                                                                                                                           
 [6] " plot goes like tom welles nicolas cage private eye hired wealthy woman allegorically named mrs christian myra carter investigate mm movie found among late husbands belongings "                  
 [7] " movie appears snuff film teenage girl raped murdered man leather mask reminds bane schumachers batman robin "                                                                                     
 [8] " murders can realistically simulated movies mrs christian wants tom discover girl alive dead "                                                                                                     
 [9] " combing missing persons reports tom finds girls name tracks los angeles "                                                                                                                         
[10] " aid max california joaquin phoenix video store clerk another symbolic name tom wanders underworld pornography search snuff "                                                                      
[11] " plot bears obvious resemblance paul schraders hardcore father goes deeper deeper industries porn sex find missing daughter "                                                                      
[12] " films modeled dantes inferno course mm makes connection overly obvious casting max virgil constantly tell tom heading toward meeting devil "                                                      
[13] " hardcore much subtle meaningful film "                                                                                                                                                            
[14] " mm lot promise "                                                                                                                                                                                  
[15] " better moments examination violence entertainment beast within even nice guy like tom "                                                                                                           
[16] "one moment first sort first meet max hes reading truman capotes cold blood underneath cover porn novel "                                                                                           
[17] " cold blood father truecrime genre literary equivalent snuff films "                                                                                                                               
[18] "max promises will see examples second theme tells tom dance devil devil dont change devil changes "                                                                                                
[19] "tom changeill let discover specifics yourselfbut permanently "                                                                                                                                     
[20] "schumacher screenwriter andrew kevin walker didnt guts take tom far dark tunnel couldnt come back "                                                                                                
[21] " walkers seven much better job theme refusing compromise "                                                                                                                                         
[22] "cage tries hard pull script doesnt give enough work "                                                                                                                                              
[23] "phoenix walks away moviehes smart charming funny "                                                                                                                                                 
[24] " cast members include fargo s peter stormare camping porn auteur dino velvet sopranos s james gandolfini soulless porn merchant pushes tom far "                                                   
[25] " last analysis since mm falls short pretensions promise just another private eye story raymond chandlerross macdonald tradition detective uncover depravity behind glossy facade wealth privilege "
[26] "however unlike predictable fare genrelast years twilight example mm especially disappointing much "                                                                                                
