 [1] " folks disney common decency "                                                                                                                                   
 [2] " resurrected yet another cartoon turned live action hodgepodge expensive special effects embarrassing writing kidfriendly slapstick "                            
 [3] "wasnt mr magoo enough people "                                                                                                                                   
 [4] "obviously "                                                                                                                                                      
 [5] "inspector gadget call ideal family entertainment "                                                                                                               
 [6] "younger viewers will likely taken abounding goofiness adult companions may feel wave nausea sweeping attempt endure appalling minute exercise glaring stupidity "
 [7] " movie poorly edited grossly manipulative finished product resembles somewhat failed jigsaw puzzle "                                                             
 [8] " elements manner director david kellogg pieces together laughable trite "                                                                                        
 [9] " huge fan s animated tv show first thing must express anger toward treatment main villain "                                                                      
[10] " cartoon dr claw frightening raspyvoiced presence remained total mystery viewer "                                                                                
[11] " never saw face simply sat back armchair watching surveillance cameras gently stroking loyal cat "                                                               
[12] " child always imagined dr claw appear curiosity kept watching many years "                                                                                       
[13] " release liveaction movie face intriguing villain unrightfully exposed "                                                                                         
[14] "rupert everett "                                                                                                                                                 
[15] " now dr claw simply known claw one word explains like madonna "                                                                                                  
[16] " sports shiny clamp instead steel glove seems far less interesting animated version "                                                                            
[17] " helps dashing everett enthusiastic overplays role entirely far "                                                                                                
[18] " said done wasnt wise move part screenwriters infamous dr claw turned wisecracking game show host makes cheap attempts suave cool "                              
[19] " still cat though "                                                                                                                                              
[20] " title role matthew broderick looks lost "                                                                                                                       
[21] " actor usually downright charming doesnt know exactly take character fault can blamed hapless writers "                                                          
[22] "broderick first plays friendly naive security guard named john brown dreams becoming cop upholding law good people "                                             
[23] " mad crush pretty scientist brenda joely fisher stumbled upon new wave technology involving interaction human tissue electronics "                               
[24] " one fateful night lab destroyed experiment stolen fiendish millionaire everett wants take world "                                                               
[25] "john courageously pursues limousine scene crime loses chase vehicle bursts flames "                                                                              
[26] " full body cast chosen first human prototype brendas work revolutionary crime fighting tool numerous fancy gadgets dispatch bad guys "                           
[27] " born inspector gadget "                                                                                                                                         
[28] " bad movie certain charm isolated scenes "                                                                                                                       
[29] "broderick actually fares better playing robo gadget evil destructive clone claw set loose city "                                                                 
[30] " two three amusing punch lines funniest robo gadget impersonates rampaging monster shadow puppets brick wall japanese man flees scene screaming left tokyo "     
[31] "alas hit ratio ongoing gags favor even cracking slight giggle "                                                                                                  
[32] " many tired plot additions "                                                                                                                                     
[33] "gadgets talking car voiced d l "                                                                                                                                 
[34] "hughley type character zoot suit favorite martian "                                                                                                              
[35] " wisecracking nonhuman additions designed coax laughter smaller children "                                                                                       
[36] "well just doesnt work fact zoot functioned marvelously comparison "                                                                                              
[37] " dont even get started villains "                                                                                                                                
[38] " didnt mind everetts performance bumbling assistants will make every adult cringe disgust "                                                                      
[39] " characters cartoon reduced thankless supporting roles "                                                                                                         
[40] "penny michelle trachtenberg brain dog now little action chief quimby dabney coleman lost considerable appeal transition animation live action "                  
[41] " special effects everywhere annoying will cause eyes peel "                                                                                                      
[42] " problem lies solely script "                                                                                                                                    
[43] "perhaps next time disney attempts remake like will invest screenplay fancyschmancy visuals "                                                                     
[44] " one critic crossing fingers anyway "                                                                                                                            
