 [1] " rapidfire formula worked well airplane police squad "                                                            
 [2] "television series top secret three naked gun films two hot shots "                                                
 [3] "movies finally reached desperate deadend spy hard "                                                               
 [4] "even ezio gregios silence hams arguably funnier overextended spy actionmovie spoof "                              
 [5] "leslie nielsen stars secret agent wd returns retirement battle old nemesis general rancor cackling andy griffith "
 [6] " jokes fly every direction hardly hint restraint timing tact "                                                    
 [7] " movie comprised recycled airplane naked gun gags recreated movie sequences soggy star cameos "                   
 [8] "yeah maybe need ray charles driving l bus bound speed bump mr t hulk hogan dr joyce brothers also appear movie "  
 [9] "leslie nielsen plays straight usual dopey flair "                                                                 
[10] " something oddly inspiring sight nielsen wearing nuns habit even resulting sister act spoof silly "               
[11] " bits directly lifted home alone pulp fiction true lies etc etc adolescent males might enjoy mess tho "           
[12] " butt shots breast peeks penis pokes flatulence gags related innuendo right beavis buttheads alley "              
[13] "beyond hilarious title sequence weird al yankovich performing theme song spy hard barely stock printed "          
[14] " recommendation duck youre waiting another movie start "                                                          
[15] "stay long enough see camera dart inside weird als nostril leave "                                                 
[16] " wont miss thing "                                                                                                
