 [1] " soldier director paul anderson film presence originality fleeting "                                                                                           
 [2] " best moments film opning scenes kurt russels character todd shown growing strict military supervision "                                                       
 [3] "brutality eyes innocent stripped every single day growing something lot emotional potential power behind opening scenes tap little "                           
 [4] " goes nowhere idea "                                                                                                                                           
 [5] " perhaps one rather fleeting scene afterwards deals potential trauma dehumanization rest film just biggest action movie cliches ive ever seen "                
 [6] " whole idea inhuman soldiertype character gaining degree humanity defending potential female love interest family evil counterpart kill done done much better "
 [7] " able predict plot whole story wouldnt bad aspect film somewhat interesting "                                                                                  
 [8] " action sequences tries deal aforementioned issues humanity performance mr russel film tiny little window soul eyes since dialog extremely limited "           
 [9] " performance way isnt bad certainly enough carry film "                                                                                                        
[10] " performances film really worth much mention generally weak characters "                                                                                       
[11] " enough stuff plot character right "                                                                                                                           
[12] "isnt important part action film well action "                                                                                                                  
[13] "even aspect film disappointment "                                                                                                                              
[14] " mortal kombat director paul anderson proved truly engaging use choreography action film can override problems plot produce something entertaining "           
[15] "however fails repeat film "                                                                                                                                    
[16] " combat scenes particularly big one end incredibly unimaginatve "                                                                                              
[17] "fighting combat scenes supposed bring thrills type movie point even otherwise unimpressive film like starship troopers seemed realize "                        
[18] " instead reaching something truly interesting end film goes old shootem one guy vs army type cinema thought died military action films s "                     
[19] " film went ideas opened introduction seriously rather engaging science fiction film "                                                                          
[20] "however utterly failed go new directions making film big disappointment "                                                                                      
