 [1] "girl word mess "                                                                                             
 [2] " never able determine spike lee trying accomplish film "                                                     
 [3] " sense film going kind coherent narrative "                                                                  
 [4] " point film missed "                                                                                         
 [5] "girl way way theresa randles character addressed phone sex workplace girls known numbers "                   
 [6] " plot theresa randle struggling n y actress eventually takes job phonesex operator "                         
 [7] " begins lose contact reality job consumes "                                                                  
 [8] "also must deal advances exhusband isiah washington "                                                         
 [9] " ex con thief tries keep away time clear still harbors feelings "                                            
[10] " neighbor jimmy spike lee functions observer mediating ex husband girl "                                     
[11] " also functions point stability watches become seduced lurid world phone sex "                               
[12] " soundtrack consisting songs prince jarring "                                                                
[13] " kept taking attention film altogether bad thing ill grant transpiring onscreen wasnt riveting "             
[14] " parts middle film music stayed blissfully background "                                                      
[15] " opening sequence one scene later film however music particularly loud distracting "                         
[16] " course ive never really cared princes tafkap like music "                                                   
[17] "prince fans might love soundtrack will probably distracting even diehard fans "                              
[18] " performances one stood spike lees buddy character jimmy "                                                   
[19] " excellent alwaysbroke neighbor girl "                                                                       
[20] " stuck acting film "                                                                                         
[21] " several sequences gave impression hed like oliver stone grows "                                             
[22] " scenes shot different types film purposely grainy reminiscent scenes oliver stones natural born killers "   
[23] " film worked propel narrative "                                                                              
[24] " film just made confused "                                                                                   
[25] " amusing moments insights lives women use voices make phonesex industry multibillion dollar industry become "
[26] " though nothing much happens "                                                                               
[27] " intense moments one caller becomes frightening even rather lackluster "                                     
[28] "im biggest fan spike lee though id agree done good work past "                                               
[29] " girl though seems floundering "                                                                             
[30] " interesting idea fairly good setup seemed wander aimlessly "                                                
[31] "girl earns grade d "                                                                                         
