 [1] "back s chuck norris used synonym action films "                                                                                                                                        
 [2] " couldnt course top success fame big action names like sylvester stallone arnold schwarzenegger sheer quantity films guaranteed household name among shootem beatem genre aficionados "
 [3] " quantity mostly provided cannon group prolific production company dominated bmovie market previous decade flooding cheap formulaic often unwatchable genre products "                 
 [4] " hitman action thriller directed chucks brother aaron one last among "                                                                                                                 
 [5] "chuck norris plays seattle cop betrayed shot left dead partner shouldnt surprise anyone considering fact partner played michael parks specialised roles usually mean characters "      
 [6] "surviving shooting cop pronounced dead hired deep undercover agent "                                                                                                                   
 [7] " infiltrates underworld circles seattle becomes top hitman using abilities start brutal war three major crime organisations italians french canadians iranians "                       
 [8] "since rather absurd expect great acting ability chuck norris least kind movie biggest attraction film action "                                                                         
 [9] "well action film falls flat boring repetitive exciting "                                                                                                                               
[10] " nothing monotonous series scenes contains violence brutal even type films "                                                                                                           
[11] " know little norris character hand gangsters portrayed human dimension "                                                                                                               
[12] " end almost feel sorry since shown totally powerless norris unstoppable bloody crusade "                                                                                               
[13] " film somebody obviously became aware problem screenwriter introduced subplot dealing black boy gets adopted norris "                                                                  
[14] " caused another problem questions nature relationship quashed another subplot one dealing lady lawyer sleeps hero gets killed fulfilling screenplay obligation "                       
[15] " photography film dark setting depressive forgettable piece s style cinema leaves viewers without reason justify hour half spent watching "                                            
