 [1] " can see decent sports movie struggling break free oliver stones given sunday "                                                                                                                         
 [2] " entertaining movie offers insight excitement rockem sockem profession pro football "                                                                                                                   
 [3] "unfortunately director seems one priority mind sprucing film assortment fancy camera maneuvers "                                                                                                        
 [4] " altering frame quickflash photography dizzying inyourface editing stone appears completely ignored matter plausible character development football politics "                                          
 [5] " see glimpses greatness given sunday agenda tangled technical gobbledygook "                                                                                                                            
 [6] " grows tiresome monotonous "                                                                                                                                                                            
 [7] "yes stone pulled brian depalma "                                                                                                                                                                        
 [8] "matters importance pushed aside right getgo "                                                                                                                                                           
 [9] "tony damato al pacino coach struggling miami sharks finds team stuck losing rut "                                                                                                                       
[10] "aging quarterback cap rooney dennis quaid appears losing touch damato cant seem ignite passion squad "                                                                                                  
[11] " cap injured field patch unlikely events occur thirdstring qb willie beaman jamie foxx brought game "                                                                                                   
[12] " huddle becomes ingame ritual beaman horks field "                                                                                                                                                      
[13] "nerves see "                                                                                                                                                                                            
[14] "eventually though ancy youngster wins game teammates sparking rise fame football world endorsements music videos etc stone straps us jolting ride behindthescenes stress fury business apparently like "
[15] " believe "                                                                                                                                                                                              
[16] " intriguing insight posed big scheme things stone fumbles ball "                                                                                                                                        
[17] " problem directors visual approach uses extravagant editing devices conventional approach appropriate "                                                                                                 
[18] "football exciting game watch stone seems think dizzying audience assault senses will add adrenaline rush "                                                                                              
[19] " guess mistaken "                                                                                                                                                                                       
[20] " given sunday visual kaleidoscope leaves audience frustrated stupor frequently excites "                                                                                                                
[21] "many football fans including one attended liable disappointed ultrastylish way stone decided present game "                                                                                             
[22] " return threestar film becomes unfortunately degraded due directors tampering "                                                                                                                         
[23] " welcome scenes visual pummeling comes break actually shows decent character development interaction "                                                                                                  
[24] " instance heated returns damato feisty young owner christina pagniacci cameron diaz enjoyable watch "                                                                                                   
[25] " also solid performance jamie foxx experiments great success first trek dramatic territory "                                                                                                            
[26] " stellar supporting cast includes matthew modine aaron eckhart lauren holly annmargret charlton heston extraordinarily brief appearance "                                                               
[27] "unfortunately many big names wasted typical demise film large experienced cast "                                                                                                                        
[28] "pacino makes interesting progress character "                                                                                                                                                           
[29] " begin identify coach damato morals striving "                                                                                                                                                          
[30] " often felt just another play thing stone weave editing dynamics "                                                                                                                                      
[31] " given sunday watchable disappointing sports film plot characters take back seat excessive filmmaking technique "                                                                                       
[32] " distant back seat "                                                                                                                                                                                    
