 [1] " following review encompasses two versions dune "                                                                                                                                               
 [2] "dune theatrical version runtime minutes capsule review cut just two hours nervous studio executives theatrical version dune spectacular mess may incomprehensible unfamiliar book "             
 [3] " films visual splendour mystical beauty impressive action scenes partly compensate gaping holes narrative "                                                                                     
 [4] "dune extended version runtime minutes capsule review bit throwtogether assembled mca tv special projects cable television "                                                                     
 [5] " disowned director david lynch considerably closer original vision virtue improved characterisation clearer storyline "                                                                         
 [6] "quality dubs version outofprint japanese laserdisc release available various dealers world wide web "                                                                                           
 [7] " review "                                                                                                                                                                                       
 [8] "released made mammoth budget million film frank herberts cult novel dune eagerly awaited scifi fans "                                                                                           
 [9] "director david lynch blue velvet eraserhead twin peaks working biggest production date mammoth undertaking filmed trying conditions location mexico "                                           
[10] " screenplay lynchs chosen script submitted original author herbert rejected "                                                                                                                   
[11] "dune set universe ruled powerful families overseen successive line emperors "                                                                                                                   
[12] " key cosmic power planet arrakis dune windswept desert planet thats home giant sandworms precious spice melange "                                                                               
[13] " spice valuable commodity universe "                                                                                                                                                            
[14] " extends life expands consciousness consume "                                                                                                                                                   
[15] " importantly allows navigators spacing guild human now hideously mutated fold space navigate spacecraft across mammoth distances instantaneously enabling interstellar commerce trade flourish "
[16] "lynchs film necessity excises parts book retaining storys two main strands "                                                                                                                    
[17] "one longstanding rivalry two families houses atreides house harkonnen battle lucrative mining rights arrakis "                                                                                  
[18] " second strand emergence young paul atreides reluctant messiah longawaited natives arrakis fremen "                                                                                             
[19] " deeply religious fremen want control homeworld young paul may fulfilment prophecy man come outer worlds lead freedom "                                                                         
[20] "unfortunately epic story unfolds confusing haphazard manner theatrical cut film runs minutes shorter lynch originally intended "                                                                
[21] " thinking among universals ohsowise money men films two hours duration popular audiences time well box office "                                                                                 
[22] " lynchs initial cut running closer three hours studio demanded cuts made "                                                                                                                      
[23] " great idea "                                                                                                                                                                                   
[24] " trim already complex film make almost incomprehensible "                                                                                                                                       
[25] " glaring consequence oneeyed stupidity hopelessly jumpy narrative leaving us badly underdeveloped characters "                                                                                  
[26] "thus personalities vague motivations unclear case pauls father duke leto demise rather meaningless "                                                                                            
[27] " end result distinct chill cant warm cast dont care much "                                                                                                                                      
[28] " hardly helps voiceover narration sparse duneesque language terminology sounds like much gobbledegook unfamiliar book "                                                                         
[29] "dune also serous film "                                                                                                                                                                         
[30] " constant selftalk various characters makes serious selfabsorbed times may find hard wince embarrassment "                                                                                      
[31] " overall impression world full people intense one allowed joke lest universe come crashing around "                                                                                             
