 [1] " youre going make twohour hollywood injoke bother releasing general public "                                                                                                                                                                  
 [2] " youre going create film will appeal primarily bigname actors people know woody allen waste time rest us peons playing theaters "                                                                                                             
 [3] " watching celebrity realized allen marginal interest creating story real people "                                                                                                                                                             
 [4] " really wanted continue recent kick conceited selfdeprecation "                                                                                                                                                                               
 [5] "celebrity yet another film allen tells story living world hes familiar dealing people like ones actually knows "                                                                                                                              
 [6] "allen recruited poor kenneth branagh bumble picture imitation allen perfect almost made like film "                                                                                                                                           
 [7] "branagh plays lee simon journalistturnedscreenwriter divorces wife robin judy davis shacks hot women famke janssen charlize theron winona ryder goes trying get big stars melanie griffith leonardo dicaprio read script armored car robbery "
 [8] " usual elements recent allen films including sexual insecurity main character lots selfloathing women tiring continuum episodes loosely related one another "                                                                                 
 [9] "unless work film industry know woody allen personally likely youll find whole lot interest celebrity "                                                                                                                                        
[10] "aside injokes story falls far short compelling characters empty lifeless "                                                                                                                                                                    
[11] "branagh proves hes superb performer nailing imitation allen flawlessly "                                                                                                                                                                      
[12] " problem hes character allen always plays character whos getting little dull watch "                                                                                                                                                          
[13] " mean come many times seen guy "                                                                                                                                                                                                              
[14] " hates work cant satisfied one woman end movie nothing solved "                                                                                                                                                                               
[15] " brings problems upon crashing car hes receiving fellatio stunts pretty hard care "                                                                                                                                                           
[16] " addition isnt allen capable creating characters arent just like "                                                                                                                                                                            
[17] " know didnt celebrity "                                                                                                                                                                                                                       
[18] " vacant emotional attachment main character recaptured supporting performances "                                                                                                                                                              
[19] "davis playing woman low selfesteem played deconstructing harry touching moments ends despicable celebritytype fills rest movie "                                                                                                              
[20] " actresses saved beauty theron ryder especially theyre likable people "                                                                                                                                                                       
[21] " famke janssen book editor interested simons new novel life "                                                                                                                                                                                 
[22] " men picture dont much better joe mantegna pretty dull man remarries robin dicaprio christian slaterjohnny depptype spoiled young actor funny disengaging "                                                                                   
[23] "whats really insulting celebrity dull standard themes "                                                                                                                                                                                       
[24] "allen seems think hes making insightful movie way normal people look celebrities "                                                                                                                                                            
[25] " main problem character supposed identify simon normal guy hes just entrenched hollywood image rest characters "                                                                                                                              
[26] " problem image get celebrities enlightening view media gives us none register realistic interesting characters mostly just function set pieces boring dialogue "                                                                              
[27] " addition allen decides needs scene theme expressed explicitly robin scene says something like interesting see way look people celebrate "                                                                                                    
[28] "celebrity arguably allens biggest misfire date "                                                                                                                                                                                              
[29] " good scenes therons superorgasmic model character kind funny last scene might moving rest film shown us character two "                                                                                                                      
[30] " celebrity failure core unless allens point make selfindulgent movie friends "                                                                                                                                                                
[31] " wanted make audience feel like outside big joke succeeded "                                                                                                                                                                                  
[32] " one dont enjoy feeling like outsider "                                                                                                                                                                                                       
