 [1] "susan grangers review watcher universal "                                                                                                                                                                                                         
 [2] "just need another lurid trashy serial killer saga "                                                                                                                                                                                               
 [3] " time keanu reeves plays elusive homicidal maniac engages gruesome tickingclock catandmouse game james spader burntout fbi agent suffered traumatic nervous breakdown many years job lapd "                                                       
 [4] " taunt spader relocated chicago reeves packs trusty piano wire moves "                                                                                                                                                                            
 [5] " long starts mailing photographs lonely unsuspecting young women intended windy city victims challenging spader along chicago police department stop within hours strikes "                                                                       
 [6] " midst murderous frenzy theres spaders psychologist played marisa tomei even less convincing medical professional jennifer lopez cell "                                                                                                           
 [7] "writers david elliot clay ayers darcy meyers along firsttime director joe charbanic helmer music videos reeves band dogstar dwell warped thrill methodology chase revealing early exactly whodunit since killer says cop need give meaning lives "
 [8] "plus reeves explains stacked right top dont notice "                                                                                                                                                                                              
 [9] " sound effects tricky camerawork along muddled discordant soundtrack "                                                                                                                                                                            
[10] "james spaders acting technique can described wooden deadpan keanu reeves maintains perpetually monotone dude persona sometimes works sometimes doesnt "                                                                                           
[11] "chris ellis spaders selfimportant colleague cast member manages convincing "                                                                                                                                                                      
[12] " granger movie gauge watcher appallingly awful amateurish real torture watching "                                                                                                                                                                 
