 [1] "plot lara croft british rich kicks lot ass "                                                                                                                                                                                                                      
 [2] " also likes raid tombs illuminata discover nine planets stand alignment first time years lara holds key time well needless say want nab "                                                                                                                         
 [3] "oh yeah lara also likes sport lot tight shirts hummanahummanahummana "                                                                                                                                                                                            
 [4] "critique angelina jolie great movie "                                                                                                                                                                                                                             
 [5] " also three action scenes pretty cool look film "                                                                                                                                                                                                                 
 [6] "uhhhhhm unfortunately rest movie sucked "                                                                                                                                                                                                                         
 [7] "bad dialogue generic sidekicks bad guys lame mystery yodaesque moments mumbojumbo sprouted even crappy cgi near end "                                                                                                                                             
 [8] " movie wasnt horror show early reviews warned us especially since every scene feature jolies torpedoes begging burst lucky shirts quite letdown nonetheless especially consider major opportunity filmmakers create cool hip woman hero based popular video game "
 [9] " dont know guess put blame director simon west didnt really tie whole movie together well "                                                                                                                                                                       
[10] " film lacked energy consistent pace well "                                                                                                                                                                                                                        
[11] "fun time "                                                                                                                                                                                                                                                        
[12] " felt kinda depressed watching movie "                                                                                                                                                                                                                            
[13] " father crap horrible dialogue given poor john voight recite just plain embarrassing im even gonna mention moustache hehehe "                                                                                                                                     
[14] " shite movie "                                                                                                                                                                                                                                                    
[15] " especially hated scenes ghostlike figure friend child ramble lara crofts father time im giving one ounce crap theyre talking "                                                                                                                                   
[16] " guess thats called lack character development right "                                                                                                                                                                                                            
[17] "thats movie builds enough background characters screen actually get care "                                                                                                                                                                                        
[18] " didnt care anyone movie bored lets explain gobbledygook moments "                                                                                                                                                                                                
[19] " even though thought jolie kicked mighty ass damn look sexy blasting guns everybody else around goddamn boring "                                                                                                                                                  
[20] " butler throwaway personality sidekick supposed funny just annoyed every time said word bugger says lot trust socalled bad guys just spewed onedimension "                                                                                                        
[21] " spark energy amongst even though action scenes movie cool see trailer youll know ones im talking overall picture lame dialogue mystical bullcrap just buried even "                                                                                              
[22] "also movie thats supposed exotic locations wasnt necessarily impressed exterior shots even less interiors looked like shot room "                                                                                                                                 
[23] "mind wont go far say worst movie year remember actually go see freddie prinze jr movies also definitely worst film ive seen summer movie season course still early im sure garbage heaps coming pike "                                                            
[24] "skip one altogether rent indiana jones movies instead trust "                                                                                                                                                                                                     
[25] " youll miss boobs end night rocksolid porn good "                                                                                                                                                                                                                 
[26] "wheres joblo coming "                                                                                                                                                                                                                                             
[27] "raiders lost ark mummy lost space mummy returns generals daughter romancing stone wild wild west mission impossible "                                                                                                                                             
