 [1] "ahh yes "                                                                                                                                                                                        
 [2] " teenage romance "                                                                                                                                                                               
 [3] " attractive young cast pitted unlikely scenario happen movies end guy always gets girl "                                                                                                         
 [4] " arrival breakout hit shes last year followed long catalogue imitators including things hate drive crazy genre previously life support hot commodity "                                           
 [5] "along now comes "                                                                                                                                                                                
 [6] " folks miramax obviously trying capitalize rabid shes craze latest project studdly freddie prinze jr attached "                                                                                  
 [7] " doesnt unlikely scenario mentioned "                                                                                                                                                            
 [8] " extraordinarily ordinary romance dull unattractive teen comedy sticks boring game plan accustomed "                                                                                             
 [9] " kind romance giggly year old girls will find convincing "                                                                                                                                       
[10] " strictly textbook fashion college sophomore aspiring chef al prinze jr meets freshman artist imogen julia stiles "                                                                              
[11] " hit like couple can movies "                                                                                                                                                                    
[12] " standard boymeetsgirl boylosesgirl boydrinksentirebottleofshampooandmayormaynotgetgirlback story "                                                                                              
[13] " plot conveniently assembled suit requirements main characters frequently taking part activities "                                                                                               
[14] "well happen movies "                                                                                                                                                                             
[15] "fortunately cast certain appeal "                                                                                                                                                                
[16] "freddie prinze jr julia stiles adorable couple screen together radiate sort warmth charisma movie centered around "                                                                              
[17] "zak orth newly realized porn star monk shows unmistakable flair handling films intelligent dialogue "                                                                                            
[18] "rounding impressive ensemble young talent shawn hatosy faculty selma blair cruel intentions ashton kutcher tvs s shows "                                                                         
[19] "even fonz henry winkler epitome teenage angst nostalgia welcome role als dad host popular cooking program chef ray "                                                                             
[20] "maybe concept looked good paper draw crowd "                                                                                                                                                     
[21] " feature film however finished product bland tasteless fluff occasional whiff cuteness keep gears stopping entirely "                                                                            
[22] "perhaps worst funny "                                                                                                                                                                            
[23] " jokes drawn obvious sources resulting humor banal uninspired "                                                                                                                                  
[24] " characters screen often laughing others goofyembarrassing antics seemed far amused audience "                                                                                                   
[25] "even giggly year old girls grown restless toward end waited impatiently formula run course "                                                                                                     
[26] " one mildly clever segment featured winkler prinze jr fantasy sequence called cooks cops takeoff father son storm houses cook decent meal needy families assistance fullyarmed swat team course "
[27] " highlight reel know remaining film leave something desired "                                                                                                                                    
[28] " order make teen comedy work youve got characters show something way depth identity "                                                                                                            
[29] " things hate actually featured characters walking flashcards result refreshing "                                                                                                                 
[30] " luck "                                                                                                                                                                                          
[31] " just textbook romance despite absurd circumstances everything bound work end "                                                                                                                  
[32] " end whole clich d ordeal nicest thing possibly say "                                                                                                                                            
[33] " movies "                                                                                                                                                                                        
