 [1] " varsity blues best film thus far "                                                                                                                                                                                   
 [2] "unfortunately also first film seen "                                                                                                                                                                                  
 [3] " another one smalltown sports movies involves flawed goodheartedfrom "                                                                                                                                                
 [4] " another one smalltown sports movies involves flawed goodhearted protagonist rough meanspirited coach big game "                                                                                                      
 [5] " end will underdog overcome great odds triumph "                                                                                                                                                                      
 [6] "will everyone town turn coach "                                                                                                                                                                                       
 [7] "will team win climactic game "                                                                                                                                                                                        
 [8] " cats bathe regularly "                                                                                                                                                                                               
 [9] " socalled hero question john moxin james van der beek senior west canaan high school plays varsity football team really just hoping get scholarship brown university can get deadend town "                           
[10] " least hes got right idea since west canaan texas portrayed film frankly pathetic whole town treating weekly football games second coming "                                                                           
[11] "heck one scene front page towns newspaper proclaiming west canaan badgers big win night "                                                                                                                             
[12] " teams star quarterback severely injured tearing ligaments leg john finds taking teams leader minutes glory last long begins problems girlfriend amy smart discovers spent evening another girl ali larter "          
[13] " staying night drinking buddies strip joint teenagers film portrayed raging alcoholics team loses secondtolast game putting john feuds coach jon voight like gary oldman overstaying welcome typecasted role bad guy "
[14] "worse yet coach threatening ruin johns scholarship chances badgers dont win final game "                                                                                                                              
[15] " plotting varsity blues old hills contains every cliche book "                                                                                                                                                        
[16] "admittedly never exactly bored watching hasten add rarely ever entertained "                                                                                                                                          
[17] "throughout really think virtually exact story filmed great deal thoughtfulness maturity s right moves "                                                                                                               
[18] "one biggest problems film little interest characters actually least certainly john played van der beek tvs dawsons creek pretty much bore without engaging qualities "                                                
[19] " probably shouldnt blame van der beek since inauspicious bythenumbers screenplay w peter iliff isnt help still certainly league tom cruise right moves "                                                              
[20] " story revolving around john meanwhile extemely thin throughout particularly minute running time alternates uninspired comic relief students see sex education teacher working stripper club heavyhanded melodrama "  
[21] " romance john girlfriend potential adequate subplot also learned little unfortunate since amy smart dont think ive seen past films probably character written sort intelligence "                                     
[22] "smart allow character become passive girlfriend instead coming young woman ideas opinions "                                                                                                                           
[23] " bad camera didnt linger long enough hear thoughts "                                                                                                                                                                  
[24] " adult characters probably fare worse since must play residents dimwitted town cares nothing football "                                                                                                               
[25] "johns relationship parents can also telegraphed far advance "                                                                                                                                                         
[26] " father set becoming football player university john doesnt want part "                                                                                                                                               
[27] " mother stands beside big strong husband passive female "                                                                                                                                                             
[28] "finally jon voight plays stock bully coach character nothing make thankless role onedimensional "                                                                                                                     
[29] "saving varsity blues total washout amusing sequences including one set sex education class get laugh "                                                                                                                
[30] " scenes playing football wellshot thankfully didnt overstay welcome many sports films fall victim "                                                                                                                   
[31] " leaving theater question mind film need made "                                                                                                                                                                       
[32] " seem asking question quite lot lately since old stories seem cranking hollywood "                                                                                                                                    
[33] " really need another highschool sports film "                                                                                                                                                                         
[34] " dont certainly one lowcaliber felt like cutandpaste job spare parts much better similar films "                                                                                                                      
[35] " varsity blues doubt first one however include earnest scene one characters wearing whipped cream private parts "                                                                                                     
