 [1] " virus type cliched vacuous film recylcled many times wonder anyone even bother putting work making "                                                                                                                                                                                  
 [2] "strangely enough midjanuary weekend last year another film released like deep rising ugly monster cruise liner "                                                                                                                                                                       
 [3] "prior movies almost exact storyline include s leviathan s deep star six four alien pictures "                                                                                                                                                                                          
 [4] " virus comparison servicable thriller wellmade produced since doesnt include one moment even remote originality intelligence sinks weight water film shot "                                                                                                                            
 [5] "based series comic books virus concerns crew ocean salvage tugboat becomes extremely damaged violent typhoon "                                                                                                                                                                         
 [6] " discovering boat slowly sinking un lucky huge ocean vessel appears dead water turns within confines radar screen "                                                                                                                                                                    
 [7] " team reaches russian ship go board find place seemingly deserted "                                                                                                                                                                                                                    
 [8] " turning power back however gradually signs something else ship electrical equipment oddly working "                                                                                                                                                                                   
 [9] "one survivor finally turn nadia joanna pacula informs suicidal stern captain donald sutherland one crew kit foster jamie lee curtis mysterious alien life form hit santi mir space station transported ship taking minds electrical machines thinking humans viruses completely wiped "
[10] " virus sounds like previously mentioned movies youre correct "                                                                                                                                                                                                                         
[11] "although technical artistry fairly impressive bring mechanical creature life film doesnt appear brain head "                                                                                                                                                                           
[12] " film sticks close wornout conventions creature genre amazing anyone spend money time filming making original film "                                                                                                                                                                   
[13] " actors good proven acting abilities past sorely wasted really even characters play "                                                                                                                                                                                                  
[14] " second return horror last year jamie lee curtis proves strong resourceful heroine "                                                                                                                                                                                                   
[15] "although s halloween h also disappointment least given scenes develop character unlike "                                                                                                                                                                                               
[16] "donald sutherland fallen hard times recently starring thoroughly disposable films s puppet masters although just watched superb scifi classic invasion body snatchers fabulous "                                                                                                       
[17] " last three topbillers william baldwin fairly hard say good picture since nothing "                                                                                                                                                                                                    
[18] "basically virus another one films group people walk around investigate space shipocean linerhaunted house deadly equally grotesque slimy creature pops kills onebyone "                                                                                                                
[19] " worst type far one best exactly studios going give recycling shameless overdone plot gimmicks "                                                                                                                                                                                       
[20] " long keep making money suspect answer never "                                                                                                                                                                                                                                         
