 [1] "wonderland rather sugary romance film subtle ton bricks falling "                                                                                                                                                                                                 
 [2] " can see plot developing mile away "                                                                                                                                                                                                                              
 [3] " lured benign story single yearold girl looking soul mate boston city depicted miniwonderland singles "                                                                                                                                                           
 [4] " star oriented film star carries film erin hope davis "                                                                                                                                                                                                           
 [5] " dating film singles reasons fate luck whatnot successful match now putting energy fulfilling careers nothing new type film done often better many times contemporary films "                                                                                     
 [6] " fictionalized documentary unmade beds provocatively sense urgency film "                                                                                                                                                                                         
 [7] "main quirk plot hopes pushy mother hollan visits boston sees daughters livein relationship radical protester hoffman breakup decides put personal ad newspaper harvard medical school dropout daughter works nurse "                                              
 [8] " done without knowledge "                                                                                                                                                                                                                                         
 [9] " cornball sitcom stuff least handled best actors director "                                                                                                                                                                                                       
[10] " easy like erin bright caring attractively blonde "                                                                                                                                                                                                               
[11] " equally easy care soul mate keeps missing contact financially strapped ruggedly handsome intelligent yearold alan alan longer wants work father plumber volunteer work aquarium attending college marine biologist "                                             
[12] " course comes across good though kill fish aquarium hard believe hes real just cardboard shining knight put story give ideal shoot "                                                                                                                              
[13] " contrived story revolves around near misses meeting spots subway restaurant phone "                                                                                                                                                                              
[14] "alans brother answers erins ad pals try respond ad phony way making bet first gets tongue kiss others witness will win bet "                                                                                                                                      
[15] " subplot obnoxious see take place hear told "                                                                                                                                                                                                                     
[16] " see erin go several dates prove point ego sick guys one annoying culminating obnoxious one brazilian lover jose charming snakeoil salesman actually one nearly flies away holiday brazil incredulous downright contrary rich presentation character heart story "
[17] "anyway expected alls well ends well watchable piece fluff comes screen better relating storyline "                                                                                                                                                                
[18] " dialogue actually bad dating erin trying flirt seemed uttering authentic things actually say situation "                                                                                                                                                         
[19] " oh way wonderland refers stop boston metro greyhound racing takes place "                                                                                                                                                                                        
