 [1] " warned "                                                                                                                                                                                                                                                                                                                                                                       
 [2] "brit love story offing "                                                                                                                                                                                                                                                                                                                                                        
 [3] "effeminate mildmannered karl take beatng bunch ruffians school bathes shower genitals tucked legs manner posing transvestite "                                                                                                                                                                                                                                                  
 [4] " just saved prentice appears respects barring protective attitude towards karl average streetwise punkinthemaking "                                                                                                                                                                                                                                                             
 [5] " ensuing scene ends boys ridiculed unfairly expelled school "                                                                                                                                                                                                                                                                                                                   
 [6] " see another eighteen yeas "                                                                                                                                                                                                                                                                                                                                                    
 [7] " time prentice matured somewhat loveable brash bullheaed goon screws jobs relationships gamely clinging onto perennial adolescence via lether jackets motorcycles punk rock music "                                                                                                                                                                                             
 [8] "karl hand grown become kim drabby insecure woman works verse writer greeting card company "                                                                                                                                                                                                                                                                                     
 [9] "chance brings two together love will inevitably blossom quirky british romantic comedy skewed little story largely "                                                                                                                                                                                                                                                            
[10] " point think youre going get cheap laughs genderbending theme see birdcage wong foo priscilla queen desert can just go home brood maladjusted sexuality lowlife deadbeat "                                                                                                                                                                                                      
[11] "kim postoperative transsexual thank much "                                                                                                                                                                                                                                                                                                                                      
[12] " newborn woman purposes confusions sensitivities deserve treatment touch delicacy "                                                                                                                                                                                                                                                                                             
[13] "personally give cheap laughs day "                                                                                                                                                                                                                                                                                                                                              
[14] "id rather enjoy obvious camp endure shallow exploration soft hearted transsexual love story "                                                                                                                                                                                                                                                                                   
[15] "different girls comes promising enough proposition nothing surpasses merely workmanlike "                                                                                                                                                                                                                                                                                       
[16] " refusing make audience really uncomfortable notion kim prentices relation ship least feel uncomfortable prentice example doesnt seem give hiself much grief becomes attracted kim despite fightpicking beerdrinking macho kind guy kim insecurities fears always saved truly disturbing victimisation film instead drawing basically wimpy love story film manages lobotomise "
[17] "lightweight comedy doomed couldve still hacked requisitive endearing couple "                                                                                                                                                                                                                                                                                                   
[18] " doesnt either since even mrs doubtfire sexier steven mackintoshs kim foyle either sex hes just plainly simpering wanker nobody like "                                                                                                                                                                                                                                          
[19] "prentice though thats never explained "                                                                                                                                                                                                                                                                                                                                         
[20] " rupert graves gives us heroic performance prentice guy never grew bafta prize convincing portrayal rabid fan buzzcocks concert win guess theres reason explain hes screwed "                                                                                                                                                                                                   
[21] " oddly enough grow like show youll wanting happy ending film wont fail either "                                                                                                                                                                                                                                                                                                 
[22] "snide underling kims office gets comeuppance "                                                                                                                                                                                                                                                                                                                                  
[23] "misogynistic police officer beats prentice gets comeuppance "                                                                                                                                                                                                                                                                                                                   
[24] " couple prevail disagreeable society come together kims apartment "                                                                                                                                                                                                                                                                                                             
[25] "kims sister impotent sargetype husband kiss make tiff tv movie subplot incidental juxtaposition "                                                                                                                                                                                                                                                                               
[26] " best kim sheds insecurities learns ride motorcycle wear leathers making prentice ride pilion "                                                                                                                                                                                                                                                                                 
[27] "awwww "                                                                                                                                                                                                                                                                                                                                                                         
[28] "terrific closure "                                                                                                                                                                                                                                                                                                                                                              
[29] "happy ending "                                                                                                                                                                                                                                                                                                                                                                  
[30] " just thats differnt girls anyway "                                                                                                                                                                                                                                                                                                                                             
[31] " figure one let know "                                                                                                                                                                                                                                                                                                                                                          
[32] " flying inkpot rating system wait tv broadcast "                                                                                                                                                                                                                                                                                                                                
[33] " little creaky still better staying home gotcha "                                                                                                                                                                                                                                                                                                                               
[34] " pretty good bring friend "                                                                                                                                                                                                                                                                                                                                                     
[35] " amazing potent stuff "                                                                                                                                                                                                                                                                                                                                                         
[36] " perfection "                                                                                                                                                                                                                                                                                                                                                                   
[37] "see twice "                                                                                                                                                                                                                                                                                                                                                                     
