 [1] "thats exactly long movie felt "                                                                                                                                                                                                                                                                                               
 [2] " werent even nine laughs nine months "                                                                                                                                                                                                                                                                                        
 [3] " terrible mess movie starring terrible mess man mr hugh grant huge dork "                                                                                                                                                                                                                                                     
 [4] " whole oralsexprostitution thing referring grant bugs fact grant annoying "                                                                                                                                                                                                                                                   
 [5] " just adam sandlerannoying talking jim carreyannoying "                                                                                                                                                                                                                                                                       
 [6] "since eye flutters nervous smiles pass acting "                                                                                                                                                                                                                                                                               
 [7] " hand since really bad slapstick fistfight delivery room culminating grants head joan cusacks lapa scene paid included movie obscene double entendres robin williams obstetrician tells grants pregnant girlfriend big pussy referring course size cat hairs coat nonetheless grant paid exchange included movie pass comedy "
 [8] "nine months predictable cookiecutter movie originality humor plot "                                                                                                                                                                                                                                                           
 [9] "hugh grant plays successful child psychiatrist "                                                                                                                                                                                                                                                                              
[10] " child psychologist "                                                                                                                                                                                                                                                                                                         
[11] " scriptwriters inject following unfunny exchange "                                                                                                                                                                                                                                                                            
[12] "kid dads asshole "                                                                                                                                                                                                                                                                                                            
[13] "grant flutters eyelashes offers nervous smile responds annoying english accent ithinkiactuallyhave talent attitude possibly elaborate "                                                                                                                                                                                       
[14] "kid dads huge asshole "                                                                                                                                                                                                                                                                                                       
[15] " like hugh asshole thats beside point nine months includes many needlessly stupid jokes get laughs ten year olds audience everyone else shakes head disbelief "                                                                                                                                                               
[16] " anyway grant finds girlfriend pregnant usual reaction fluttered eyelashes nervous smiles "                                                                                                                                                                                                                                   
[17] " paves way every possible pregnancychild birth gag book especially since grants equally annoying friends wife also pregnant "                                                                                                                                                                                                 
[18] " annoying friend played tom arnold provides cacophonous slapstick none funny scene arnold beats costumed arnie dinosaur draw parallels one toy store "                                                                                                                                                                        
[19] " interesting character movie played jeff goldblum hid away somewhere dreadful hideaway artist fear simultaneous longing commitment "                                                                                                                                                                                          
[20] " even robin williams plays russian doctor recently decided switch veterinary medicine obstetrics much humor "                                                                                                                                                                                                                 
[21] " onejoke character old foreignguywhomispronouncesenglish stereotype someone say yakov smirnov "                                                                                                                                                                                                                               
[22] "thats favorite vodka way hence line now time take look volvo another nasty unamusing joke except one goes right ten year olds heads adults simultaneously groan "                                                                                                                                                             
[23] "nine months complete failure low laughs intelligence high loud unfunny slapstick failed jokes uninspired lunacy "                                                                                                                                                                                                             
[24] "hugh grants sunset boulevard arrest please caughtwithhispantsdown jokes may bring people theaters certainly wont leave smile faces minutes grants nervous smiles "                                                                                                                                                            
[25] "everything movie forced unauthentic anyone q "                                                                                                                                                                                                                                                                                
[26] " sorry hugh will know wasted money unfulfilled desire "                                                                                                                                                                                                                                                                       
[27] " least didnt spend bucks "                                                                                                                                                                                                                                                                                                    
