 [1] " four movies earned jamie lee curtis title scream queen early s "                                                                                                               
 [2] "two halloween movies two prom night terror train uninspired knockoffs came directly success halloween "                                                                         
 [3] " god im scared theres guy mask coming routine john carpenters classic jamie lee copies none urgency suspense "                                                                  
 [4] "terror train takes place else train charted premed students finishing first four years higher education "                                                                       
 [5] " wont make med school though obvious foreshadowing done conductor complains wish hell theyd put radio train "                                                                   
 [6] " conductor character probably lines anyone even jamie lee "                                                                                                                     
 [7] " beginning hes talking head tells one coworkers think whens last time someone built shopping mall next train station "                                                          
 [8] " makes kind sense gets better engages argument benefits railroad recreational vehicles "                                                                                        
 [9] " course loudmouth conductor first person find bloody body gone brings skeptical trainman back view "                                                                            
[10] " forgot mention prologue "                                                                                                                                                      
[11] " party three years earlier group students "                                                                                                                                     
[12] "two play trick geeky frat pledge promising hes going get laid "                                                                                                                 
[13] " send jamie lee stand behind bed talk geek comes noticing form bed "                                                                                                            
[14] " says kiss kenny kisses body bed happens cadaver "                                                                                                                              
[15] " oh god killed kenny "                                                                                                                                                          
[16] " bastards "                                                                                                                                                                     
[17] " sick trick one jamie lee wasnt let "                                                                                                                                           
[18] " still hasnt forgiven guy board terror train asshole cant good time without hurting somebody "                                                                                  
[19] " killing starts train even leaves station "                                                                                                                                     
[20] "since new years everyones wearing disguises convenient plot device weve seen someone stabs guy groucho mask ones looking "                                                      
[21] " least one characters says groucho mask killer dons steps aboard looks like gene shalit way make great killer slasher movie "                                                   
[22] "speaking weirdlooking dorks still persist entertainment scene one terror trains famous gimmicks appearance david copperfield magician regails aboard illusions set disco music "
[23] " theres greatest trick getting laid hair looks like "                                                                                                                           
[24] " attempts visual style substance terror train lionel amtrak prom night halloween nothing really worth watching "                                                                
[25] " diehard fans jamie lee curtis david copperfield truly fans even attempt watch "                                                                                                
[26] " makes wonder horror movie set rv much worse "                                                                                                                                  
[27] " mean last time someone built shopping mall next train station anyway "                                                                                                         
[28] "terror train definitely cinematic equivalent sleeper car "                                                                                                                      
