 [1] " steven seagal fan "                                                                                                                                                                                                                                                            
 [2] " say now mufti splenetik isnt real name probably need explain went film expecting great things "                                                                                                                                                                                
 [3] " proud seagal fan worth beans will tell seagal formula something can depend "                                                                                                                                                                                                   
 [4] "seagal films can always counted minimal dialogue heaps expendable baddies extemely crunchable bones well always hear seagal limbtwisting thing rarely female colead sight unless reallife modelwife hasnt worked since weird science usually worst possible titles can imagine "
 [5] " mention straightforward plots generally allround bad dialogue mr implacable leatherface black outfit hes since nico hands sharp nimble knives thing seagal stoic sir petrified ponytail duke dull "                                                                            
 [6] " glimmer man seagal breaks formula gets sidekick attempts banter puts new vest "                                                                                                                                                                                                
 [7] "hes also put quite lot weight "                                                                                                                                                                                                                                                 
 [8] "small potatoes may say man able accessorize banter wants damnit aint broke fix "                                                                                                                                                                                                
 [9] " disappointed persons dashed expectations later "                                                                                                                                                                                                                               
[10] " jack cole seagal homicide detective questionable past "                                                                                                                                                                                                                        
[11] " partner played keenen ivory wayans investigating series ritual killings cole becomes suspect especially background check run campbell reveals practically nothing cole "                                                                                                       
[12] " turns cole former trained government assassin just cant trust homicide detectives someone victims used catch just glimpse jungle pounced hence well know glimmer man thing "                                                                                                   
[13] " increasingly fishy homicide investigation present soon leads gradual uncovering larger threatening conspiracy involves crooked businessman bob gunton coles former cia boss brian cox deals involving chemical weapons "                                                       
[14] " glimmer man plot pretty standard stuff drawing films elements hotter films year eg seen "                                                                                                                                                                                      
[15] " changes disappoint "                                                                                                                                                                                                                                                           
[16] " example although theres fair amount violence movie theres also disastrous pairing seagal keenen ivory wayans probably best known wayans tribe many exactly televisions living colour "                                                                                         
[17] "wayans plays whiney straightman seagals beadadorned brocadedraped cole keeping crazy part dialogue wasted zest "                                                                                                                                                                
[18] " campbell wayans confines bemoaning new partners eccentric habits chemistry two minimal seagals wooden comebacks make painful watching "                                                                                                                                        
[19] " cook seige seagal now buddhist speaks chinese wears prayer beads intricate silk jackets normal black ensemble "                                                                                                                                                                
[20] " chants refuses fight unless truly provoked introduces campbell powdered deer penis cure allergies "                                                                                                                                                                            
[21] " benign trite plot device except fact new character traits require seagal speak usual "                                                                                                                                                                                         
[22] "heck deliver punchlines carry steady conversation someone large part film "                                                                                                                                                                                                     
[23] " lot ask seague "                                                                                                                                                                                                                                                               
[24] " much "                                                                                                                                                                                                                                                                         
[25] "seagals best characteristic used knew purpose already complicated world movies crunchily snap bad guy appendages silently alone "                                                                                                                                               
[26] " seagal snappy oneliners arnold stallone attempts show can act much less think "                                                                                                                                                                                                
[27] " kindergarten cop oscar just simple unadulterated deathblows "                                                                                                                                                                                                                  
[28] "thats really must started likeminded fans knew wanted streamed watch seague thing knowing never seagal universe ever see anything else "                                                                                                                                        
[29] " trusted "                                                                                                                                                                                                                                                                      
[30] " got know "                                                                                                                                                                                                                                                                     
[31] "now betrayal "                                                                                                                                                                                                                                                                  
[32] " dont know can watch another seagal movie without little niggling doubt hes going try funny "                                                                                                                                                                                   
[33] "ill try wont easy "                                                                                                                                                                                                                                                             
[34] " havent watched glimmer man yet might want wait video come "                                                                                                                                                                                                                    
[35] " easier just fast forward dialogue parts linger action sequences "                                                                                                                                                                                                              
[36] " cant depend fantasies can depend "                                                                                                                                                                                                                                             
[37] " flying inkpot rating system wait tv broadcast "                                                                                                                                                                                                                                
[38] " little creaky still better staying home gotcha "                                                                                                                                                                                                                               
[39] " pretty good bring friend "                                                                                                                                                                                                                                                     
[40] " amazing potent stuff "                                                                                                                                                                                                                                                         
[41] " perfection "                                                                                                                                                                                                                                                                   
[42] "see twice "                                                                                                                                                                                                                                                                     
[43] "mufti spelenetik still steven seagal fan "                                                                                                                                                                                                                                      
[44] "everybody makes mistakes awhile "                                                                                                                                                                                                                                               
