 [1] "bats years camp flick "                                                                                                                                                              
 [2] " worlds worst dialogue cheesiest premise stupidest editor one heaven enjoy films humorous inanity "                                                                                  
 [3] " rest us well "                                                                                                                                                                      
 [4] "id say skip looking box office figures one seems though america following advice anyway "                                                                                            
 [5] "follow lead youll spare minutes life bucks boot "                                                                                                                                    
 [6] " love alfred hitchcocks birds almost much love short story based "                                                                                                                   
 [7] " saddens even see american treasure ripped blatantly wannabe horrorschlock bats "                                                                                                    
 [8] " mysterious bat attacks occur small texas town authorities call batologist dina meyer investigate "                                                                                  
 [9] " turns creepy scientist bob gunton genetically enhanced couple bats escaped lab making smarter vicious "                                                                             
[10] " done ask "                                                                                                                                                                          
[11] " see apparently scientists job make things little better even means death mankind "                                                                                                  
[12] " batologist wisecracking sidekick town sheriff lou diamond phillips kill bats save world "                                                                                           
[13] " course cant happen wallow guamo bat shit uninitiated get close personal truly repulsive flying mammals survive dumbest situations ever seen professionally produced motion picture "
[14] "consider example scene two people bat cave "                                                                                                                                         
[15] " bats sleeping humans afraid might wake can get "                                                                                                                                    
[16] " "                                                                                                                                                                                   
[17] " get hell fast can "                                                                                                                                                                 
[18] "nope "                                                                                                                                                                               
[19] " stand transfixed thousands bats opening eyes "                                                                                                                                      
[20] " keeps bats scary creepy hyperactive editing attack scenes "                                                                                                                         
[21] " dont even get see whats going screen becomes mush cuts quick "                                                                                                                      
[22] " know bats attacking "                                                                                                                                                               
[23] " attacking exactly happening remains mystery "                                                                                                                                       
[24] " little technical proficiency wonders horror movies bats sure use "                                                                                                                  
[25] " course director louis morneau tries liven things intentional humor conventional doesnt really go anywhere "                                                                         
[26] " ocmic relief comes courtesy batologists wisecracking sidekick leon takes every opportunity sputter ingenious lines like hate bats "                                                 
[27] " bad take double quality may inspire smirk nature roaring laugh inept "                                                                                                              
[28] " hate characters exist sole purpose spouting lame oneliners "                                                                                                                        
[29] "playing characters help actors careers "                                                                                                                                             
[30] "still suppose youre looking movie bad good worse bats "                                                                                                                              
[31] " tremendous amount camp value "                                                                                                                                                      
[32] "im recommending movie quite frankly sucks know might convince people go see "                                                                                                        
[33] " power "                                                                                                                                                                             
