 [1] " epiphany today "                                                                                                                                                     
 [2] " occurred watching house haunted hill "                                                                                                                               
 [3] " follows trailer makes film advertising look like trashy stupid movie well guess "                                                                                    
 [4] "chances truth advertising "                                                                                                                                           
 [5] " bad didnt trust instincts somethingortheother possessed see movie "                                                                                                  
 [6] " blame sudden craving scare anticipation sleepy hollow "                                                                                                              
 [7] " dogma started late afternoon schedule "                                                                                                                              
 [8] " hour angel buffy scarier doozy tries scary shtick falls flat face "                                                                                                  
 [9] " wish id seen halloween "                                                                                                                                             
[10] " least forgiving "                                                                                                                                                    
[11] "hey tis season "                                                                                                                                                      
[12] " movie scary albeit confusing dizzying nauseating first soon horror got repetitive downright laughable film obviously wasnt going anywhere "                          
[13] "now truly appreciate films like scream halloween old hitchcock film scariness stems situations least somewhat realistic "                                             
[14] "thats spooks people fact happen someone know "                                                                                                                        
[15] " logical precedent situations want scare us "                                                                                                                         
[16] "sure utterly unpredictable good thats different utterly nonsensical "                                                                                                 
[17] "hohh house haunted hill hand "                                                                                                                                        
[18] " "                                                                                                                                                                    
[19] " "                                                                                                                                                                    
[20] "well lets just say fell chair laughing ohsocleverly revealed everyone got invited party related psycho doctors died house couple decades ago "                        
[21] "riiiiight "                                                                                                                                                           
[22] "yknow just sends chills spine "                                                                                                                                       
[23] "yeah "                                                                                                                                                                
[24] "just like wet pants told house evil "                                                                                                                                 
[25] "ooooooo "                                                                                                                                                             
[26] "hint blood guts work times "                                                                                                                                          
[27] "sooner later people start tell just ketchup props youve got come something better "                                                                                   
[28] " just many things movie weve seen inevitable plot developments strangers unwittingly trapped together strangers turning evil manifesting dead coming back last scare "
[29] " predictable last "                                                                                                                                                   
[30] " didnt fools just stay together one place anyways "                                                                                                                   
[31] "sheesh "                                                                                                                                                              
[32] " grossed "                                                                                                                                                            
[33] "yes "                                                                                                                                                                 
[34] " get spooked times "                                                                                                                                                  
[35] "yes "                                                                                                                                                                 
[36] " "                                                                                                                                                                    
[37] " get really disturbed "                                                                                                                                               
[38] " werent random scares reason visual effect wasnt good either trust scare film filled drab laughable dialogue "                                                        
[39] " characters incredibly flat cliched "                                                                                                                                 
[40] " mention downright annoying "                                                                                                                                         
[41] "youve got bunch people going nowhere lives course theyre dumb enough go party stranger invited provided win million dollars survive night "                           
[42] "jeez thought one fell may already winner things anymore "                                                                                                             
[43] " course three gals babes "                                                                                                                                            
[44] " wonder earth geoffrey rush shine ended movie "                                                                                                                       
[45] "keep geoff youll qualify next batman venture "                                                                                                                        
[46] " single person enjoyed chris kattan well just cracks "                                                                                                                
[47] " famke jansen sp "                                                                                                                                                    
[48] " reminds delectable brosnan "                                                                                                                                         
[49] "pierce brosnan hey willingly endured dantes peak three times "                                                                                                        
[50] " right concede "                                                                                                                                                      
[51] " couple things enjoyed "                                                                                                                                              
[52] " perverted little amusement park beginning "                                                                                                                          
[53] " probably wont ride rollercoaster "                                                                                                                                   
[54] " machine used drive geoffreys character mad see dont even remember names "                                                                                            
[55] " machine stupid fishtank naked wimmin "                                                                                                                               
[56] " kept waiting waiting inevitable twist end movie "                                                                                                                    
[57] " wouldnt redeemed film least made feel better "                                                                                                                       
[58] " opted beautiful sunrise ending "                                                                                                                                     
[59] "thank god didnt add kiss end puked "                                                                                                                                  
[60] "god hope "                                                                                                                                                            
