 [1] " disappointing biography homosexual relationship two famous th century french poets "                                                                                                                               
 [2] " film managed remove poetry poets instead concentrated abrasive personalities "                                                                                                                                     
 [3] " result merely academic exercise leaving emotional vacuum couldnt build show poets "                                                                                                                                
 [4] " paper shouldnt terrible talented director agnieszka holland secret garden proven screenwriter christopher hampton dangerous liaisons capable cast "                                                                
 [5] " film done inept script unappealing way film directed miscasting leonardo dicaprio rimbaud "                                                                                                                        
 [6] " found performance risible one film acting like teenage brat young genius spouting obsenities without giving hint true poet lies behind facade "                                                                    
 [7] " especially looked bad david thewlis paul verlaine looked good despite turgid dialogue thrust upon thin character forced "                                                                                          
 [8] " two together looked like mismatch "                                                                                                                                                                                
 [9] "leonardos rimbaud made young poet look petulant crude yet know rimbauds poetry must something going poetry awe inspiring "                                                                                          
[10] " film opens postrevolutionary france yearold rimbaud sent established symbolist poet verlaine letter poems "                                                                                                        
[11] " accepts verlaines praises invitation house guest splendid paris home rimbaud leaves sullen farm rural charleville "                                                                                                
[12] " rimbaud disappointed bourgeoisie household immediate conflict verlaines busty yearold wife mathilde romane finds regret drunken verlaine loves rich wife body lives familys money even though nothing else common "
[13] " verlaine states poets can learn one another rimbaud replies haughty tone theyre bad poets "                                                                                                                        
[14] " will continue treat older poet like dirt rest relationship "                                                                                                                                                       
[15] "verlaine proves weakwilled beating wife regularly plays just despicable character rimbaud "                                                                                                                         
[16] " mathildes father kicks rimbaud house verlaine finds rooming house two become lovers "                                                                                                                              
[17] " real downer watch story unfold series obnoxious behavior patterns part two poets leads traveling together mathilde asking divorce "                                                                                
[18] " brussels verlaine gets arrested sodomy spends two years jail "                                                                                                                                                     
[19] " rimbaud becomes angered literary world never writes another poem becomes "                                                                                                                                         
[20] " instead goes north africa becomes adventurer gunrunner ten years comes home tumor knee dies changed man age "                                                                                                      
[21] " hopeless relationship two picture covers detail satisfying "                                                                                                                                                       
[22] " film ends whimper "                                                                                                                                                                                                
[23] "verlaine talking rimbauds sister brother poems still possesses sister wants destroyed embarrass family ruin name deceased brother published "                                                                       
[24] " film especially annoying rimbauds poems filled visionary tenseness even approached film film manages skim surface lives poets completely ignores value poetry "                                                    
[25] " idea filmmaker trying say film whatever just didnt work "                                                                                                                                                          
[26] " certainly didnt bring light understanding rimbaud meant modern poetry earned reputation socalled father modern poetry "                                                                                            
