 [1] " movie divorce custody seems timely movie mood rings "                                                                                                                                                                                      
 [2] "family breakups familiar part american landscape nearly thirty years countless dramas told stories acrimonious court battles handwringing detail "                                                                                          
 [3] "still cant recall comedy subject bye bye love "                                                                                                                                                                                             
 [4] " still cant "                                                                                                                                                                                                                               
 [5] "bye bye love rarely funny often weak melodramatic retread common tvmovie fare "                                                                                                                                                             
 [6] " moments nothing films main premise offer big laughs instead cliched emotion "                                                                                                                                                              
 [7] "bye bye love follows one weekend lives three divorced fathers get weekend custody children "                                                                                                                                                
 [8] "dave matthew modine father two inveterate womanizer difficulty staying faithful latest girlfriend vic randy quaid foulhumored father three go rare date donny paul reiser pines exwife trouble relating teenage daughter emma eliza dushku "
 [9] " course weekend three men face various crises including vics blind date hell janeane garofolo donnys growing estrangement emma "                                                                                                            
[10] " three lead actors form rather unlikely combo quality performances widely varying quality "                                                                                                                                                 
[11] "randy quaid best three bitter without irritating gleefully spiteful without frightening "                                                                                                                                                   
[12] " runins exwife lindsey crouse bit overplayed though confrontation pompous radio psychologist rob reiner gimmicky implausible "                                                                                                              
[13] " get bye bye loves best subplot hilarious dinner date gloriously demented janeane garofolo great slow burn "                                                                                                                                
[14] "paul reiser really one character slightly befuddled uptight nice guy mad persona well "                                                                                                                                                     
[15] " personality appealing character becomes pretty boring "                                                                                                                                                                                    
[16] "matthew modine quite simply terrible "                                                                                                                                                                                                      
[17] " isnt performance good enough called mailedin even forgot put stamp "                                                                                                                                                                       
[18] "modine lacks charm appallingly underwritten role looks bored time gets stuck trite little speech fathers fault hes cad "                                                                                                                    
[19] "carolcos executives whose entire future resting modines bankability upcoming cutthroat island must sweating buckets right now "                                                                                                             
[20] "bye bye love basically comes confused movie spends far much time new relationships main characters instead relationships fathers kids making just another dating s movie "                                                                  
[21] " movie deal children one scream accusation andor cry perhaps resolved later sensitive talk hug perhaps "                                                                                                                                    
[22] "even confusing subplot featuring late ed flanders widower goes work mcdonalds befriends troubled youth "                                                                                                                                    
[23] " sad end flanders career getting caught truly annoying overuse mcdonalds location plot device apparently major advertiser "                                                                                                                 
[24] "even bye bye love decided spend time focusing exclusively parentchild relationships still pretty difficult pull ultimately little humor one can wring family breakups effects children "                                                    
[25] " way slice bad situation kids makers bye bye love mostly go heartstrings dealing single parenting issue "                                                                                                                                   
[26] " left dads romantic fumblings probide little humor isnt enough "                                                                                                                                                                            
[27] " comparisons bye bye love parenthood parenthood genuinely funny genuinely touching "                                                                                                                                                        
[28] "bye bye love genuine shame "                                                                                                                                                                                                                
