 [1] " contrast "                                                                                                                                                                   
 [2] " space two days saw shakespeare love hurlyburly "                                                                                                                             
 [3] "im sure get two different movies "                                                                                                                                            
 [4] " former top telegraphing everything shoving philosophy life throats hurlyburly complete opposite wound tight much buried script one spend weeks thinking "                    
 [5] " one interesting movie "                                                                                                                                                      
 [6] " much similar vein one favourite movies company men although quite nasty "                                                                                                    
 [7] "theres lots talking scary insights world men "                                                                                                                                
 [8] "hurlyburly doenst contain much plot just follow eddie sean penn around tries make sense life people around "                                                                  
 [9] " big question pertain "                                                                                                                                                       
[10] " supposed feel "                                                                                                                                                              
[11] " means everything television friends events happen "                                                                                                                          
[12] " guess summed crudely whats "                                                                                                                                                 
[13] " movie answers "                                                                                                                                                              
[14] "donna anna paquin gives theyre really satisfying just lead questions "                                                                                                        
[15] "thats makes movie stay mind "                                                                                                                                                 
[16] " sorts questions occupy time "                                                                                                                                                
[17] "even push background however resolve questions influences everything "                                                                                                        
[18] " performances superb hurlyburly "                                                                                                                                             
[19] " havent seen sean penn much fact cant remember seeing anything brilliant "                                                                                                    
[20] "eddie isnt likeable character sean penn makes understandable "                                                                                                                
[21] " dont want friend id like help "                                                                                                                                              
[22] "chazz palminteri also great phil making awful person "                                                                                                                        
[23] "id never want know phil still understand eddie wants friend "                                                                                                                 
[24] "everyone film nails performances making world real "                                                                                                                          
[25] " nasty world sexist world "                                                                                                                                                   
[26] "unlike shakespeare love unfailingly politically correct hurlyburly mans world seen unapologetically eyes men "                                                                
[27] " find fascinating two counts depressing "                                                                                                                                     
[28] "first depressing world exists "                                                                                                                                               
[29] " large part hurlyburlys success convinces people real sort environment exists every day hollywood large number men believe women completely peripheral world toys playthings "
[30] "sure everyone background everyone else world women long way background "                                                                                                      
[31] "second movies made stories mens world "                                                                                                                                       
[32] " stories womens world "                                                                                                                                                       
[33] " soap operas chick flicks meant satisfy women real stories touch essence life like hurlyburly men "                                                                           
[34] "hurlyburly based stage play evident moment film starts "                                                                                                                      
[35] " talkative intelligent static "                                                                                                                                               
[36] " can make film drag bit people sometimes sound like theyre quoting textbooks mostly good thing "                                                                              
[37] " films filled special effects sweeping panoramas "                                                                                                                            
[38] " films underestimate intelligence audience "                                                                                                                                  
[39] " means hurlyburly probably just effective video large screen "                                                                                                                
[40] " also means pay attention "                                                                                                                                                   
