 [1] "ironically one themes cigarettes try make best every moment life "                                                                                          
 [2] "unfortunately will longer able say lived every moment life fullest spent otherwise perfectly good minutes watching sad excuse movie "                       
 [3] "actually smoking cigarettes minutes couldnt worse watch movie "                                                                                             
 [4] " pathetically bad film overall cigarettes actually redeeming qualities whatsoever "                                                                         
 [5] " plot scattered thin predictable acting monumentally bad style film making resembles home video "                                                           
 [6] " december big party monicas martha plimpton house "                                                                                                         
 [7] " one arrived yet "                                                                                                                                          
 [8] " invited guests several people picked throughout evening wandering streets new york city various groups "                                                   
 [9] " know common bond slept monica total strangers "                                                                                                            
[10] " face personal neuroses nights end "                                                                                                                        
[11] " invited ones issues "                                                                                                                                      
[12] " arent help come terms "                                                                                                                                    
[13] "first eric brian mccardie former boyfriend monicas just getting heartbreak relationship terminating prematurely sexual performance lack thereof "           
[14] " one bland characters film full dullness utterly predictable stereotypical common trait poor production "                                                   
[15] "bridget nicole parker caitlyn angela featherstone extremely sensuous young women looking someone handle desires new years eve tag along party "             
[16] " stumble across nameless bartender ben affleck one truly perfect character film imperfections "                                                             
[17] " nether sexually deprived uncertain future law school "                                                                                                     
[18] " lack flaws boring unrealistic painful watch "                                                                                                              
[19] " bridget caitlyn make passes neither entertained humored substandard comedy "                                                                               
[20] "moving val christina ricci stephie gabby hoffman teenage girls fake identification different thoughts "                                                     
[21] "val monicas cousin true fan new york scene "                                                                                                                
[22] " hand stephie convinced vulnerable crime two venture usual locations search party just cant find "                                                          
[23] "paradoxically punks meet bar actually attempt flee presence arent successful guide fears force level relaxation upon warped minds "                         
[24] " insanely dull uninteresting couples one approaches level decency acting plot "                                                                             
[25] "wisely movies creators put heavy emphasis lucy courtney love kevin paul rudd best friends share common bond dateless "                                      
[26] "paul just broken long time steady ellie janeane garofalo starting come terms loss lucy informs ellie sleeping around relationship "                         
[27] "however complexity two characters seem want friends reiterated attempt sexual intercourse bathroom stall one occasion strange evening "                     
[28] "finally two worst performances worst subplot film "                                                                                                         
[29] "jack jay mohr cindy kate hudson going short period time jack just learned took cindys virginity night "                                                     
[30] " attempts play usual self predictably self loathing male attempts deal string one night stands includes recently deflowered cindy "                         
[31] " often film putrid production will least decent quality film making reveal occasional moment glory "                                                        
[32] "however film neither quality cinematography moments glory highlighted "                                                                                     
[33] "instead get collection rough inconsistent cuts bad continuity inaccuracies "                                                                                
[34] "first noticeable film goes one subplot another apparent order follows also weekened unnecessarily edgy edits scene scene shot shot "                        
[35] " times objects seem get move hairstyles costumes change shot shot "                                                                                         
[36] " also least scenes taxi cab go start finish "                                                                                                               
[37] " single one anybody pay driver "                                                                                                                            
[38] " yet matter miserable film may matter poor acting around ray hope many bad plots "                                                                          
[39] "perhaps makers just decided concentrate one two perhaps even three might time opportunity character development quality acting even decent plot payoff end "
[40] " didnt happen way "                                                                                                                                         
[41] " cast quality name actors forced roles even one convert mediocre performance every story line crashed burned quicker takes ball drop midnight "             
