 [1] " tarzan lost city one anemic movies come quite "                                                                                                                                                              
 [2] " poorly written badly acted generally incompetent cinematic areas thoroughly uninspired insipid "                                                                                                             
 [3] "unfortunately bad way great colossal misfires like heavens gate ishtar bad "                                                                                                                                  
 [4] "instead literally drips screen like movie nobody wanted associated begs question made first place "                                                                                                           
 [5] " good scripts lying around hollywood unproduced needless drek like make way big screen "                                                                                                                      
 [6] " course tarzan one filmed characters motion picture history appeared forty films ranged good s greystoke legend tarzan lord apes really bad s tarzan ape man bo derek "                                       
 [7] " films just cheapie bmovies made thirties forties starring exolympic athletes lot cutsie chimps "                                                                                                             
 [8] "therefore another tarzan movie made one might assume something new offer different angle original storyline anything set apart others "                                                                       
 [9] " greystoke added neverbeforeseen level realism pulpy tale even tarzan ape man least misguided audacity sexualize story vehicle bo dereks bare breasts "                                                       
[10] " tarzan lost city hand absolutely nothing offer bunch recycled storylines bad dialogue "                                                                                                                      
[11] " script bayard johnson j anderson black formulaic generic come "                                                                                                                                              
[12] "comic books better plots "                                                                                                                                                                                    
[13] " movie bad fact retains ridiculous tarzan call tirelessly mocked last summers comedy george jungle "                                                                                                          
[14] "didnt producers think leave back old weissmuller pictures belongs "                                                                                                                                           
[15] " story starts legend tarzan already firmly established quick opening narration tells tarzan casper van dien found jungle raised apes return england assumes greystoke heritage "                              
[16] " movie starts civilized english gentleman without english accent marry jane jane march less week "                                                                                                            
[17] "however wicked archeologistgraverobber named nigel ravens steve waddington begins hunting fabled lost city opar one africas last great secrets witch doctor ancient african tribe summons tarzan back jungle "
[18] " first jane refuses go pouting will interfere wedding tarzan leaves changes mind tracks therefore assuring lots lame smooch scenes apeman "                                                                   
[19] " film gets going sluggish way delves series jungle adventures tarzan jane natives attempt thwart ravens crew discovering city "                                                                               
[20] " socalled adventures cheesy predictable unexciting pace tension action speak "                                                                                                                                
[21] " sequences stolen innumerable recent adventure movies ranging raiders lost ark goonies "                                                                                                                      
[22] " movie running short action includes greenpeacefriendly scenes tarzan freeing caged animals releasing baby elephant trap throwing ivory tusks river "                                                         
[23] " movie also lacking even remote hint reality "                                                                                                                                                                
[24] " instance tarzan raised jungle bit cobra doesnt even attempt suck venom like semiexperienced weekend backpacker "                                                                                             
[25] "instead ties tourniquet around arm stumbles jungle plan survival "                                                                                                                                            
[26] " course one cant help notice fundamentally misleading title "                                                                                                                                                 
[27] " ruin ending anything lost city "                                                                                                                                                                             
[28] " however lost pyramid suppose resourcestrapped fx department come special effects worthy madefortv movie "                                                                                                    
[29] " also brings question treasure hunters slog numerous underground caverns get lost pyramid sitting right middle open field "                                                                                   
[30] "strictly speaking tarzan lost city isnt even bad enough camp quality although casper van diens laughably stiff performance comes real close "                                                                 
[31] " movie proves starship troopers hinted act sure looks wellgroomed even deepest heart african jungle "                                                                                                         
[32] "van dien much much prettyboy effective tarzan hes calvin klein model loin cloth "                                                                                                                             
[33] " also wondered makeup department thinking outfitted awful circa steve perry haircut "                                                                                                                         
[34] "waddington makes decent villain although hes like charmless version belloq raiders lost ark jane exmodel jane march little smile look pretty next tarzan "                                                    
[35] " fire gun evil treasure hunters time two whenever snake comes picture reduced hysterical mess "                                                                                                               
[36] "however amidst complaining one piece good news "                                                                                                                                                              
[37] " tarzan lost city lacking ideas new old unable fill even hour half celluloid "                                                                                                                                
[38] " can say much least decency short "                                                                                                                                                                           
