 [1] " feature film directors cut teeth music videos please raise hands "                                                                                                                                                                                         
 [2] "thank identifying now please go away "                                                                                                                                                                                                                      
 [3] " influence rank one annoying trends filmmaking last decade shows sign abating time soon "                                                                                                                                                                   
 [4] " isnt just strobe light quality twentycutsperminute editing numbing overuse popular music artists soundtracks makes suspicious film advertised featuring music kind cynicism perfected banking idea one will care lack story include enough bells whistles "
 [5] "welcome club scott kalvert "                                                                                                                                                                                                                                
 [6] " adaptation basketball diaries loud onedimensional serving vehicle performance leonardo dicaprio better pieces whole "                                                                                                                                      
 [7] "dicaprio stars jim carroll new york poetsongwriter performer whose autobiographical writings film based "                                                                                                                                                   
 [8] " film opens jim budding high school basketball star given petty thievery getting drunk buddies mickey mark wahlberg pedro james madio neutron patrick mcgaw "                                                                                               
 [9] "one night jim graduates inhalants cocaine shortly thereafter heroin "                                                                                                                                                                                       
[10] "jims addiction drug starts downhill spiral kicked basketball team coach bruno kirby kicked home mother lorraine bracco drops school "                                                                                                                       
[11] "along mickey pedro jim becomes victim street living fix fix sinking lower lower "                                                                                                                                                                           
[12] " basketball diaries bouncing around project years sticking point always jim carroll character unsympathetic much loner "                                                                                                                                    
[13] "screenwriter bryan goluboff created three characters act carrolls posse resulting jim carroll just unsympathetic now equally unsympathetic friends "                                                                                                        
[14] " film basketball diaries may intended primarily cautionary tale minute long just say public service announcement drama monumentally ineffective impossible care much anyone movie "                                                                         
[15] "jim sort jerk even becomes junkie suppose pseudosensitive poetry devotion terminally ill friend intended balance "                                                                                                                                          
[16] "perhaps expected see jim one good kids falls wrong crowd every parent believes troubled child saw simply part bad crowd "                                                                                                                                   
[17] "without character changes appreciable way basketball diaries rapidly degenerates collection crimes committed jim strungout cohorts choreographed oppressively loud soundtrack "                                                                             
[18] "director scott kalvert doesnt many scenes intrinsic dramatic impact work substitutes silly slowmotion photography selfconsciously funky camera angles choppy editing "                                                                                      
[19] " one occasion steady pan around room jim trying detox makes appear walls closing gimmicks effective "                                                                                                                                                       
[20] "mostly just draw attention hollow story "                                                                                                                                                                                                                   
[21] " also dont allow leonardo dicaprios performance strong "                                                                                                                                                                                                    
[22] " every impressive moment like desperate attempt get mother give money scene kalvert pulls much focus camera theatrics "                                                                                                                                     
[23] "dicaprio effective playing actors particularly fine sequence featuring ernie hudson exjunkie tries help jim straighten kalvert wont let character interaction define story "                                                                                
[24] " wants turn dicaprio rock star shooting dramatic fashion denying opportunity much acting "                                                                                                                                                                  
[25] " isolate moments basketball diaries fine showcase dicaprios talents "                                                                                                                                                                                       
[26] "far frequently looks like kalvert trying imagine long form velvet underground video might looked like "                                                                                                                                                     
