 [1] "okay okay "                                                                                                                                                                                                                     
 [2] "maybe wasnt mood watch mindless action movie person liked lethal weapon iii even admitting wasnt good others "                                                                                                                  
 [3] "howewer latest segal picture didnt look bad since none friends go see woody allen movie even paid went see expecting mild die hard rehash "                                                                                     
 [4] "boy wrong "                                                                                                                                                                                                                     
 [5] " first half movie already assaulted segals acting simply wooden like wall gratuitous violence incredible plot sexist even gratuitous nudity bad lines obviously meant jokes "                                                   
 [6] " end obvious hundreds navy men match thirty armed special forces soldiers "                                                                                                                                                     
 [7] " movie segal appear worried undecided much increasing unexistent suspense "                                                                                                                                                     
 [8] " course movies like must sidekick love interest "                                                                                                                                                                               
 [9] " one given two one package form playboy model movie functions supposed comic relief way extremely stupid unfunny lines watering eyes look away every time something bad happens movie "                                         
[10] "oh course appears naked waist course segal kisses end development relationship even seem interested "                                                                                                                           
[11] " never seen little chemistry two people movie "                                                                                                                                                                                 
[12] "often villain saves movie unfortunately villains cartoonish stupid unfunny unmenacing "                                                                                                                                         
[13] " many movies psycho exspecial forces bad guys "                                                                                                                                                                                 
[14] " many "                                                                                                                                                                                                                         
[15] " able predict action throughout movie including moment sidekick saves hero certain death scene bad guy can kill hero proceeds explain plan scene shown heros superiors stupid scene bad guy loses gun fight hero hand hand etc "
[16] "simply said moviemaking numbers boring potentially offensive going lowest common denominator audience "                                                                                                                         
[17] " recommendation go see bring watch "                                                                                                                                                                                            
[18] "youll looking movie "                                                                                                                                                                                                           
[19] " "                                                                                                                                                                                                                              
[20] "rent die hard "                                                                                                                                                                                                                 
[21] "read book "                                                                                                                                                                                                                     
[22] "stare sky "                                                                                                                                                                                                                     
[23] " waste time worthless piece celluloid "                                                                                                                                                                                         
[24] " real sad thing lot movies rather seen dragged friends way liked movie halfheartedly "                                                                                                                                          
[25] " probably like wrestling "                                                                                                                                                                                                      
