 [1] "call road trip walking wounded "                                                                                                                                                                                                                                                                                      
 [2] "stellan skarsg rd plays convincingly zombified drunken loser difficult spend nearly two hours screen time smelly boozedout presence "                                                                                                                                                                                 
 [3] "yet everreliable swedish actor adds depth significance otherwise plodding forgettable aberdeen sentimental painfully mundane european drama "                                                                                                                                                                         
 [4] "playwright august strindberg built career families relationships paralyzed secrets unable express longings hour far late "                                                                                                                                                                                            
 [5] "thats accurate reflection aberdeen strives focusing pairing alcoholic father tomas skarsg rd alienated openly hostile yuppie daughter kaisa lena headey gossip "                                                                                                                                                      
 [6] " havent spoken years wouldnt even making long trip norway aberdeen scotland automobile werent kaisas mother charlotte rampling sand rotting away hospital bed cancer "                                                                                                                                                
 [7] " soap opera twist mother days live "                                                                                                                                                                                                                                                                                  
 [8] " movies right "                                                                                                                                                                                                                                                                                                       
 [9] " blitzed even step foot plane tomas hits open road kaisa "                                                                                                                                                                                                                                                            
[10] "loathing make periodic stops tomas puke dashboard pass whenever isnt muttering rotten kid turned "                                                                                                                                                                                                                    
[11] "despite sloshed viewpoint tomas recognizes apple hasnt fallen far tree "                                                                                                                                                                                                                                              
[12] "kaisa gets nosebleeds snorting coke sabotages personal relationships indifference unable restrain quick vindictive temper "                                                                                                                                                                                           
[13] "aint pair "                                                                                                                                                                                                                                                                                                           
[14] "unable find true notes unspoken familial empathy onenote repetitively bitchy dialogue screenwriters kristin amundsen hans petter moland fabricate series contrivances propel events forward lost money roving street hooligans looking drunks kick around nosy cops flat tires figure schematic convenient narrative "
[15] " time reach hospital time unveil secrets dark past simplistic devices trivialize fatherdaughter conflict theyre also mainstays many bad strindberg wannabe "                                                                                                                                                          
[16] " revelation exists purely sake "                                                                                                                                                                                                                                                                                      
[17] "aberdeen doesnt know else go "                                                                                                                                                                                                                                                                                        
[18] "weak unimaginative casting thwarts pivotal role kaisa "                                                                                                                                                                                                                                                               
[19] " lena headey stronger actress perhaps aberdeen able coast performances moody haunting cinematography rendering norway pastoral ghost world reference certain superior american indie flick intentional "                                                                                                              
[20] "headeys busy acting using face furrowed brow convey every last twitch insouciance "                                                                                                                                                                                                                                   
[21] " paying attention skarsg rd maybe shed figure less can reveal much "                                                                                                                                                                                                                                                  
[22] " worthwhile compare aberdeen earlier film released jonathan nossiters captivating signs wonders "                                                                                                                                                                                                                     
[23] " just skarsg rd rampling played disturbed parental figures films theyre bound ceremonial wedlock aberdeen "                                                                                                                                                                                                           
[24] " differences way characters presented significant "                                                                                                                                                                                                                                                                   
[25] " aberdeen rampling luminous diva preening static hospital bed "                                                                                                                                                                                                                                                       
[26] "despite skarsg rds solid performance tomas pathetic drunk never given much chance emote anything besides catatonic sorrow "                                                                                                                                                                                           
[27] "theres genuine ferocity sexually charged frisson understated confrontations signs wonders allowing suggest gray zone complications accompany torn romance years stifled curiosity "                                                                                                                                   
[28] "nossiters film thoroughly explores neurotic territory addition delving americanization greece use mysticism illusion deflect pain "                                                                                                                                                                                   
[29] " signs wonders sometimes feels overloaded ideas least willing stretch beyond weve come expect traditional drama "                                                                                                                                                                                                     
[30] "aberdeen never half ambitious content sleepwalk rhythms timing movies "                                                                                                                                                                                                                                               
[31] " character driven stories stop paying attention complexities real life "                                                                                                                                                                                                                                              
[32] " depressing answer can found lawrence kasdans trite occasionally useful grand canyon steve martins hollywood mogul pronounces lifes riddles answered movies "                                                                                                                                                         
[33] "even foreign films taking advice heart "                                                                                                                                                                                                                                                                              
