 [1] "tectonic plates incredibly painful motion picture experience nearly prompted walk minutes movie "                                                                                                              
 [2] " film opened canada never released united states based stage play canadian auteur robert lapage evident fascinating live production translation screen creative disaster "                                     
 [3] "enduring tectonic plates like sitting filmed version performance art lifeless tedious "                                                                                                                        
 [4] " qualities make captivating seen person effaced motion picture medium "                                                                                                                                        
 [5] "tectonic plates storyline although narrative developed decidedly nontraditional fashion shots stagebound play intercut typical cinematic sequences "                                                           
 [6] " inherently uninteresting way present movie despite valid complaint pretentious allbutscreaming look "                                                                                                         
 [7] "art "                                                                                                                                                                                                          
 [8] "although keeps audience distanced characters "                                                                                                                                                                 
 [9] " constantly made aware watching play movie impossible accept individuals anything mouthpieces writers ideas "                                                                                                  
[10] "theyre real sympathetic believable "                                                                                                                                                                           
[11] "im willing give director peter mettler credit trying something different particular experiment success "                                                                                                       
[12] "tectonic plates opens introducing us madeleine marie gignac art student studying montreal fallen love professor jacques lapage "                                                                               
[13] "one day disappears fearing left undeserving love madeleine travels venice kill "                                                                                                                               
[14] " preparing commit suicide encounters drug addict constance celine bonnier causes madeleine rethink decision "                                                                                                  
[15] "meanwhile jacques moved new york city starts crossdressing calls jennifer becomes successful counterculture talkshow host "                                                                                    
[16] " settings shift paris venice montreal manhattan scotland supporting characters include topless goddess deafmute cultural references point chopin george sand jim morrison tectonic plates unique nothing else "
[17] "however interesting film sounds excited see synopsis promising never really delivers "                                                                                                                         
[18] " tone soporific supposedlyintellectual prattle inane uninteresting plot meanders pointless irritating manner although doesnt take long viewer determine story largely unimportant symbolism obvious "          
[19] "tectonic plates trying show human interaction volatile unpredictable shifting earth takes onehundred minutes get across transparent point "                                                                    
[20] " worthwhile moments silly sword fight jacques topless goddess entertaining discussion french english differences two languages although fine points will certainly lost arent bilingual "                      
[21] " people likely enjoy tectonic plates feel strong need praise something rootless boring different b like anything theyve seen c pretentious "                                                                   
[22] " everyone else waste time poor introduction work robert lapage "                                                                                                                                               
