 [1] "various films seen seattle film festival "                                                                                                                                                                                                   
 [2] " truethree men raft u s director orson welles "                                                                                                                                                                                              
 [3] " recently uncovered onefourth orson welles planned docudrama amazing stories around world named true short dealt welles attempts document actions several brazilian fisherman become folk heroes fantastic voyage rio raft "                 
 [4] " several clips film seen short tends spend time trying recount welles attempts film despite studio problems staggering workload extremely ill fortune set "                                                                                  
 [5] "impressive photography really interesting film historians "                                                                                                                                                                                  
 [6] "sadie thompson u s director raoul walsh screenwriter raoul walsh john colton play rain based w somerset maughams story miss thompson cast gloria swanson raoul walsh lionel barrymore silent "                                               
 [7] " discussion newlyrestored version frank capras lost horizon several scenes restored using stills interested see sadie thompson last minutes film destroyed many years ago "                                                                  
 [8] " silent version somerset maugham short story miss thompson "                                                                                                                                                                                 
 [9] " one skillful silent films ever seenlittle awkwardness clever script "                                                                                                                                                                       
[10] " actors gloria swanson raoul walsh also directed wrote screenplay especially lionel barrymore hypocritical reformer supposedly wants save sadies soul really wants get sheets absolute epitome sanctimonious scoundrel "                     
[11] "swanson adds real life character adding worldly affectionate air bawdy sadie "                                                                                                                                                               
[12] "unfortunately ending rather poorly tied difficult know whether due lack liveaction film original script "                                                                                                                                    
[13] " happy ending seems particularly poorly tied believe maughams short story ended sadie hero moving australia stills expected fill conclusion weve waiting hour half "                                                                         
[14] "still entertaining right end certainly barrymores incredibly hammy performance nonetheless works perhaps due silent screen must anyone fed actions falwells bakkers robertses religious worlds "                                             
[15] " c movie worth can find "                                                                                                                                                                                                                    
[16] " pied piper czechoslovakia director jim barta screenwriter kamil piza "                                                                                                                                                                      
[17] " animated film czechoslovakia definitely kids "                                                                                                                                                                                              
[18] " tells old folk tale pied piper twist ending find highly appropriate lot political comment along "                                                                                                                                           
[19] "perhaps economic content better wordit certainly doesnt show capitalism good light "                                                                                                                                                         
[20] " human nature anything else matter "                                                                                                                                                                                                         
[21] " may guessed tgif film kind film glad "                                                                                                                                                                                                      
[22] " wasnt interesting technical reasons stopanimation well done "                                                                                                                                                                               
[23] " puppets carefully carved walnutsexcept animated stuffed rats "                                                                                                                                                                              
[24] "boy sounds like real comedy vehicle doesnt "                                                                                                                                                                                                 
[25] "add onto set design makes cabinet doctor caligari absolutely cheerful comparison something give wee ones mentally unstable larger folk keep night "                                                                                          
[26] " gore "                                                                                                                                                                                                                                      
[27] "dont bring children one "                                                                                                                                                                                                                    
[28] "dont bring adults one unless theyre fascinated puppetry andor hate capitalism badly enjoy seeing wooden puppets raped "                                                                                                                      
[29] "blech "                                                                                                                                                                                                                                      
[30] " fun whatsoever "                                                                                                                                                                                                                            
[31] "meier west germany directorscreenwriter peter timm cast rainier grenkowitz nadja engelbrecht alexander hauff thomas besvater subtitled "                                                                                                     
[32] " film takes us back forth east germanwest german border meier east german wallpaperer whose father west dies leaves good deal money "                                                                                                        
[33] " uncle also west sneaks meier country unknown east germans "                                                                                                                                                                                 
[34] "meier however less thrilled girlfriend friends job likes exist east germany "                                                                                                                                                                
[35] " roundtheworld trip boss thinks hes leave bulgaria meier starts visiting east germany day visas fake id uses money connections west buy girlfriend presents bring credit work crews workwhile everyone thinks hes still living east germany "
[36] " course something goes wrongand ending funny takes film long get "                                                                                                                                                                           
[37] " humor spread thin much plot obvious acting "                                                                                                                                                                                                
[38] "still good concept comedy last five minutes pretty funny "                                                                                                                                                                                   
[39] "c "                                                                                                                                                                                                                                          
[40] " right hand man australia director di drew screenplay helen hodgman cast rupert everett hugo weaving arthur dignam jennifer claire catherine mcclements "                                                                                    
[41] " lifetime moviegoing four years attending seattle international film festival ive learned several rules absolute certainly given deference "                                                                                                 
[42] " wary french comedies "                                                                                                                                                                                                                      
[43] " people like jerry lewis "                                                                                                                                                                                                                   
[44] " ken russell never going grow matter long wait "                                                                                                                                                                                             
[45] " film siff associate director gary tucker refers lead old poutylips probably worth watching "                                                                                                                                                
[46] " australian film awards credit best cinematography watch "                                                                                                                                                                                   
[47] "australia good cinematographers whazoo since weir miller left foreign shores finding good script director seems difficult impossiblewitness malcolm last year task "                                                                         
[48] "well ignored rules last night sat film golden turkey awards "                                                                                                                                                                                
[49] " director trying one classic romance stories done s tragedy among gentry falling love people station horses "                                                                                                                                
[50] "lots lots horses "                                                                                                                                                                                                                           
[51] " film opens stallion mounting mare direction ladyship guess kind foreshadowing missus house wants son produce heir "                                                                                                                         
[52] "unfortunately said son reckless idiot faints worst times kills father loses arm racing accident "                                                                                                                                            
[53] "highlights include amputation sequence doctors daughter hots son tasting urine diagnosis tender kissing window rainingyoud think woman studying medicine know better "                                                                       
[54] " photography good kept wishing bweverything seems sepiacolored anyway "                                                                                                                                                                      
[55] "actually wished watching swimming cambodia instead thats life "                                                                                                                                                                              
[56] "grade z avoid like plague unless youre looking inadvertent yuks "                                                                                                                                                                            
