 [1] "everybody films thinking alicia "                                                                                                                                                             
 [2] " documentary us first saw cryin video "                                                                                                                                                       
 [3] " one erotic thrillers like one starring shannon whirry shannon tweed "                                                                                                                        
 [4] "first theres zero sex almost nudity wellplotted one tweed flicks "                                                                                                                            
 [5] "well anyway "                                                                                                                                                                                 
 [6] " plot "                                                                                                                                                                                       
 [7] "alicia plays well babysitter taking care kids one night parents j t "                                                                                                                         
 [8] "walsh lee garlington go party "                                                                                                                                                               
 [9] " film trying like one introspective erotic thrillers shows every characters thoughts except alicias "                                                                                         
[10] " thing alicias cases thoughts arent kosher "                                                                                                                                                  
[11] "first theres boyfriend jeremy london gave one alltime lousy performances mallrats notch better whos dorky kid hangs kind bully played nicky katt suburbia shows hes got quiet creepiness pat "
[12] " decide want crash babysitting job looking typical babysitting hankypanky "                                                                                                                   
[13] "somethine like "                                                                                                                                                                              
[14] " film intercuts subplots alicia babysitting nicky jeremy party characters thoughts "                                                                                                          
[15] " get see jeremy nickys dreams little threeway alicia j t "                                                                                                                                    
[16] "thinking coming home find alicia naked bathtub covered little tease worst lee garlington dreaming hunk george segal "                                                                         
[17] " even shows bed together "                                                                                                                                                                    
[18] "yea "                                                                                                                                                                                         
[19] " wanted see george lee garlington bed though guess im used george seeing mary tyler moore fooling around flirting disaster "                                                                  
[20] " ending kind big tragedy thing come "                                                                                                                                                         
[21] "like care characters "                                                                                                                                                                        
[22] " interesting one alicia mainly shes alicia mostly see fantasies "                                                                                                                             
[23] " guess shes kind mystery something "                                                                                                                                                          
[24] " never explored "                                                                                                                                                                             
[25] " basically film just series mastabatory images sometimes featuring nonnude alicia sadly sometimes featuring scantilyclad george segal sadly "                                                 
[26] " watched one free previews showtime cinemax one night let tell way watch film "                                                                                                               
[27] " mean theres reason put kinds films late night theyre just good sleeping pills "                                                                                                              
[28] " one one big fat waste time even alicia film "                                                                                                                                                
