 [1] "take look following equation "                                                                                                                                                                                                                                             
 [2] " christmas carolghostbustersscrooged "                                                                                                                                                                                                                                     
 [3] "yes scrooged odd mixture sentiment comedy horror get mixed two elements toghether "                                                                                                                                                                                        
 [4] "scrooged alternatively sick gross funny sickly soppy "                                                                                                                                                                                                                     
 [5] "bill murray plays frank cross t v executive horrible personality "                                                                                                                                                                                                         
 [6] "hes evil secretary actors crew everyone except t vs stations boss course played late robert mitchum however visited dead exec warns cross will visited three ghosts past present future called ghost yet come reason sure enough arrive show cross much s o b changes way "
 [7] "however throughout simple plot weve got suffer outlandish special effects poor comedy mean performance bill murray "                                                                                                                                                       
 [8] "frank cross isnt funny mean hes just mean "                                                                                                                                                                                                                                
 [9] " also isnt good emotional scenes totally destroys last ten minutes film utterly desperate speech saying great christmas changed "                                                                                                                                          
[10] "however supporting cast ok good performances mitchum allen plays girlfriend john glover plays crosss partner ghost christmas past isnt bad either "                                                                                                                        
[11] "sadly though audience suffer minutes home alone style violence ghost christmas present played carol kane "                                                                                                                                                                 
[12] "whoever thought smacking kane smacking murray head toaster funny fired straight away "                                                                                                                                                                                     
[13] " audience also suffer bobcat goldthwait guy annoying voice police academy remeber correctly "                                                                                                                                                                              
[14] " thankfully dosent say much "                                                                                                                                                                                                                                              
[15] " script horrendous "                                                                                                                                                                                                                                                       
[16] "michael odonaghue churns terrible bad taste jokes guess whole point really changes direction completely emotional scenes "                                                                                                                                                 
[17] " must drug wrote final ten minutes awful "                                                                                                                                                                                                                                 
[18] " special effects look nice nothing film "                                                                                                                                                                                                                                  
[19] "theres impressive make effects also "                                                                                                                                                                                                                                      
[20] " music also good scored danny elfman "                                                                                                                                                                                                                                     
[21] " great effects make dont make great film "                                                                                                                                                                                                                                 
[22] "scrooged appaling attempt inject christmas spirit audience seeing first hour minutes film depressing anyway last ten minutes make godawful speech "                                                                                                                        
[23] " didnt cross just look exec window ask young boy buy goose "                                                                                                                                                                                                               
[24] "overall youd much better christmas avoid film like something avoided perhaps plague "                                                                                                                                                                                      
