 [1] " book remained shadows "                                                                                                             
 [2] "book shadows blair witch "                                                                                                           
 [3] " film review michael redman copyright michael redman "                                                                               
 [4] "certain things lives inevitable "                                                                                                    
 [5] "death sorrow love heartbreak pain joy "                                                                                              
 [6] " expect events "                                                                                                                     
 [7] " know theyre going happen even look forward "                                                                                        
 [8] " part human condition "                                                                                                              
 [9] " also become accustomed inevitable occurrences society "                                                                             
[10] " near fall election several hitting us face "                                                                                        
[11] "politicians exaggerate importance "                                                                                                  
[12] " side always right always wrong "                                                                                                    
[13] " end voters usually forced choose lesser two whocares "                                                                              
[14] " hollywood one indisputable inevitable film makes big money will sequel "                                                            
[15] "even original story doesnt merit one "                                                                                               
[16] "even first film complete "                                                                                                           
[17] "even success fluke "                                                                                                                 
[18] " blair witch project made budget exploded screen raking huge profits "                                                               
[19] " concept brilliant "                                                                                                                 
[20] " filmmakers created remarkable buzz story might real "                                                                               
[21] " film even convincing "                                                                                                              
[22] " movie must authentic "                                                                                                              
[23] " else amateurish footage big screen "                                                                                                
[24] " first film caught lightning bottle "                                                                                                
[25] " sequel proves cant pour old lightning new bottle "                                                                                  
[26] " give effort credit "                                                                                                                
[27] " easy made movie new group kids "                                                                                                    
[28] " easy course wouldnt worked "                                                                                                        
[29] "instead book shadows acknowledges first film movie concentrates hysteria following release "                                         
[30] " great scheme possibly entertaining way sequel "                                                                                     
[31] "unfortunately doesnt work either "                                                                                                   
[32] "five kids spend night woods scene first film "                                                                                       
[33] "weird stuff happens retreat old factory one lives "                                                                                  
[34] "even weirder stuff happens "                                                                                                         
[35] " people die theres blood knives none characters lick common sense "                                                                  
[36] " supposedly serious research group sets circle surveillance cameras ruins old house woods vows stay alert night awaiting visitation "
[37] " proceed get totally trashed drugs alcohol party loud obnoxious heavy metal music "                                                  
[38] " bad plan "                                                                                                                          
[39] " cast shows early promise "                                                                                                          
[40] " couple research blair witch book "                                                                                                  
[41] " tour guide former mental patient turned ebay aficionado "                                                                           
[42] " goth amazon princess adds bit comedic relief "                                                                                      
[43] " obligatory hot babe spiritual cinematic descendent cute hippie chick cute rock roll chick cute disco chick cute wiccan chick "      
[44] " first films unaccomplished actors came across real people real situation hours hours video shot days woods "                        
[45] " time unaccomplished actors just come across unaccomplished actors "                                                                 
[46] "theres one character care start shouting reason "                                                                                    
[47] "although passes plot starts solid idea ruined poor execution "                                                                       
[48] " followup one successful horror films ever nothing bad slasher movie "                                                               
[49] "theyre trapped old big weird house "                                                                                                 
[50] " stupidly separate various rooms "                                                                                                   
[51] " strange noises see scary apparitions people disappear "                                                                             
[52] "ever see movie "                                                                                                                     
[53] "seasoned documentary director joe berlinger know better "                                                                            
[54] " film features mostly cheap tricks unnecessary gore "                                                                                
[55] " storyline filled surprises oddly predicable "                                                                                       
[56] " blair witch project rare triumph style substance "                                                                                  
[57] " book shadows triumph tedium promise "                                                                                               
