 [1] "much ado nothing "                                                                                                               
 [2] "ah sweet irony "                                                                                                                 
 [3] " accepted wisdom circles among english literature nuts mainly whenever critic knocks shakespeare ignorance "                     
 [4] " just doesnt understand shakespeare will hear say "                                                                              
 [5] " bards work apparently beyond criticism "                                                                                        
 [6] " load old cobblers "                                                                                                             
 [7] " arbiters public taste think kenneth branaughs film shakespeares comedy much ado nothing comedy modern sense word time get life "
 [8] "get monty python "                                                                                                               
 [9] "get woody allen "                                                                                                                
[10] "get john waters "                                                                                                                
[11] "whatever "                                                                                                                       
[12] "just get real taste clever witty risky comedy "                                                                                  
[13] " banish nonsense belongs "                                                                                                       
[14] "drama tragedy shakespeares strength "                                                                                            
[15] " sensibilities im stick mud much ado nothing resonates spark whatsoever "                                                        
[16] " kidding film ranks among embarrassing two hours ever spent cinema years movie going "                                           
[17] " thing stopped walking loyalty lady friend day hadnt seen ages "                                                                 
[18] " boy owe one "                                                                                                                   
[19] " wont spend much time plot "                                                                                                     
[20] "basically follow trials tribulations two wouldbe couples one young older "                                                       
[21] "theres dark treachery amongst everyone awfully jolly youd hardly know "                                                          
[22] "mind theres nothing wrong basic story "                                                                                          
[23] "good romantic comedies based similar premises abound "                                                                           
[24] "nothing wrong cast either "                                                                                                      
[25] "branaugh emma thompson denzel washington talented performers "                                                                   
[26] " problem script accurately shakespeares original text "                                                                          
[27] "light comedy shouldnt complex "                                                                                                  
[28] "yet wrapped elizabethan english dialogue becomes difficult comprehend "                                                          
[29] " alone will problem modern audiences unschooled shakespeare search nothing good undemanding laugh "                              
[30] " laughs escape belly brought gloriously inept performance keanu reeves actor miscast jealous halfbrother something "             
[31] " dissected understood boils stuff just goddamn lame "                                                                            
[32] " comedy clean nice corny devoid danger leaves viewer totally cold "                                                              
[33] "ho ho ho boy likes girl "                                                                                                        
[34] "ho ho ho men klutzes "                                                                                                           
[35] "ho ho ho shes awfully clumsy "                                                                                                   
[36] "oh please "                                                                                                                      
[37] "theres wit somewhere im told "                                                                                                   
[38] " call pretentious "                                                                                                              
[39] "something lightweight striving something sophisticated clever wordplay "                                                         
[40] " end cringeworthy "                                                                                                              
[41] "watching cinema patrons around collapse laughter made much ado nothing weird movie going experience "                            
[42] "comedy "                                                                                                                         
[43] "bah humbug "                                                                                                                     
