 [1] "stars armand assante mike hammer barbara carrera dr "                                                                                                                                                                                                         
 [2] "charlotte bennett laurene landon velda alan king charles kalecki geoffrey lewis joe butler paul sorvino detective pat chambers judson scott charles hendricks barry snider romero julia barr norma childs mpaa rating r review "                              
 [3] " updating mickey spillanes novel jury hardboiled detective mike hammer vietnam vet drives shiny bronze trans dresses like don johnson miami vice less pastels sworn alcohol "                                                                                 
 [4] "however still smokes lucky strikes detests forms authority kills whim "                                                                                                                                                                                       
 [5] "beyond updated film retains little resemblance original pulpy pageturner spillane probably infamous often reviled mystery writers "                                                                                                                           
 [6] " movie starts bang howler opening credits sequence cheap steal james bond series complete cheesy graphics overbearing jazz score bill conti rocky "                                                                                                           
 [7] " movie book begin murder jack williams frederick downs onearmed detective hammers best friend "                                                                                                                                                               
 [8] "hammer declares will seek vengeance jacks death help devoted secretary blond shapely velda laurene landon alternately friendly antagonistic police chief pat chambers paul sorvino immediately killers trail "                                                
 [9] " movie splits completely book dives convoluted improbable tale government conspiracy mind control tactics involving mafia cia one hammers vietnam vet buddies kinky sex clinic "                                                                              
[10] "many characters book appear movie take slightly different roles "                                                                                                                                                                                             
[11] " instance charles kalecki alan king numbers runner narcotics dealer book turns suave mob boss "                                                                                                                                                               
[12] " importantly hammers suspicious love interest charlotte bennett barbara carrera morphs runofthemill psychiatrist coordinator founder sex clinic "                                                                                                             
[13] " jury one several cinematic renditions spillanes books including version made d film differs earlier versions one major way includes sex violence spillane wrote never given screen treatment due hollywoods production code "                                
[14] "although takes version jury closer core original subject matter aspect film received criticism took new license extremes many argued surpassed book "                                                                                                         
[15] "rest assured movie includes great deal nudity thoroughly violent especially toward women "                                                                                                                                                                    
[16] " features one woman neck slashed set twins forced strip stabbed death psychotic sexual deviant programmed cia judson scott another woman shot pointblank belly hammer "                                                                                       
[17] " one deny spillanes writing definite misogynistic nature movie seems take step giving glorious screen treatment constant equation sex violence much played intention erotic quite unsettling "                                                                
[18] " surprise movie like book fades black dead woman floor "                                                                                                                                                                                                      
[19] " jury troubled production wellsupported studio made one explanation didnt well theaters many people forgotten ever made "                                                                                                                                     
[20] " script written larry cohen best known creatively cheesy nonetheless effective monster movies like alive two sequels q stuff "                                                                                                                                
[21] "cohen wrote script thinking going helm project well yanked directors chair weeks worth shooting already budget "                                                                                                                                              
[22] " quickly replaced richard t heffron worked last three decades handful undistinguished movies dozens television projects "                                                                                                                                     
[23] "heffron obviously brought talent make movie rapidly efficiently "                                                                                                                                                                                             
[24] " shows final product "                                                                                                                                                                                                                                        
[25] "cohen personal interest updated version hammer heffron none "                                                                                                                                                                                                 
[26] " shot movie quickly clumsily although scenes ring true flat trite invariably dull "                                                                                                                                                                           
[27] " movie features numerous car chases shootouts stunts heffrons background television dominant tone despite graphic violence fullfrontal nudity jury takes air madefortv quickie real punch depth "                                                             
[28] " problems jury run deeper technical "                                                                                                                                                                                                                         
[29] " central fault updating mike hammer whose character lost shuffle updating fifties eighties "                                                                                                                                                                  
[30] " spillane wrote hammer mysteries first person hammers character central tale events filtered persona "                                                                                                                                                        
[31] " never really get impression movie firstperson voiceover narration scenes dont hammer "                                                                                                                                                                       
[32] "consequently great deal texture spillanes storytelling lost "                                                                                                                                                                                                 
[33] " period updating turns detrimentally bad idea much hammers moral code thrown wind "                                                                                                                                                                           
[34] "despite characterization hardnosed violent misogynistic killer hammer always stuck fervently moral code "                                                                                                                                                     
[35] " title jury refers antiestablishment notion law "                                                                                                                                                                                                             
[36] "unlike private eyes seek bad guys turn police hammer pursues criminal exacts punishment "                                                                                                                                                                     
[37] " way can seen law still adheres strictly personal code conduct morality "                                                                                                                                                                                     
[38] " movie forgoes aspect character hammer comes amoral societys terms terms especially "                                                                                                                                                                         
[39] " anything hammer always professionalism movie away first three minutes showing rolling sack wife client paid find wife unfaithful "                                                                                                                           
[40] "maybe scene intended laughs cheapens hammers character accounts lousy way start movie "                                                                                                                                                                       
[41] " blame hammers character cant laid assantes shoulders despite unnecessary marlon brandonlike mumbling delivers fine performance "                                                                                                                             
[42] "spillane never described hammers physical attributes dozen books appeared actor conceivably portray "                                                                                                                                                         
[43] " course lack written description read spillanes books will strong personal notion hammer looks like therefore almost screen incarnation will somehow fall short expectations spillane played character s girl hunters generally considered best film hammers "
[44] " rest actors unnoteworthy "                                                                                                                                                                                                                                   
[45] " exceptions alan king paul sorvino everyone appeared jury upandcomers basically went nowhere "                                                                                                                                                                
[46] "many ended working television like carrera short stint dallas mideighties adds madefortv atmosphere film "                                                                                                                                                    
[47] "maybe someday someone will manage get right elements together make effective film rendition spillane book certainly "                                                                                                                                         
