 [1] "boy great movie "                                                                                                                                            
 [2] "keanu reeves morgan freeman acting together director fugitive andrew davis back give us another thriller beautiful rachel stealing beauty weisz thrown boot "
 [3] " blockbuster "                                                                                                                                               
 [4] " diehard keanu reeves fans read "                                                                                                                            
 [5] "ol much ado nothing plays eddie kasalivich machinist studying university chicago "                                                                           
 [6] " help pay rent takes job making machinery hydrogen project conducted university "                                                                            
 [7] " happy coincidence also happens stumble solution final problem thus one knows key performing feat miracle physics "                                          
 [8] " project holds great promise taking hydrogen water giving energy put "                                                                                       
 [9] " potential solution earths energy problems without pollution cost "                                                                                          
[10] "surely nobody problems "                                                                                                                                     
[11] "morgan freeman paul shannon projects sponsor "                                                                                                               
[12] " works powerful organization disagrees paternal project leader quickly technology released public "                                                          
[13] " figures world will disintegrate anarchy results project released quickly "                                                                                  
[14] " murders project leader blows project great short scene sort like mini id citydevastation thing tries simulate experiment hitech hushhush location "         
[15] "unfortunately intrepid machinist english physicist weisz manage get away now follows fugitivelike chase using dissimilar rehash movie script "               
[16] " movie just dying comparison fugitive "                                                                                                                      
[17] " movies use chicago main city since place doesnt change much guess cant really blame setting paucity atmosphere "                                            
[18] " trouble fugitive harrison ford tommy lee jones chain reaction keanu reeves fred ward "                                                                      
[19] "credit arent really given much chance empathise characters "                                                                                                 
[20] " ford able work within confines movie evoke sympathy eddie kasalivich just doesnt seem believeable reeves character never given time develop "               
[21] " might better investment film give characters depth spend less time chase sequences frankly get quite boring "                                               
[22] "harrison ford man world "                                                                                                                                    
[23] " alone world didnt know trust came across real well "                                                                                                        
[24] " chain reaction keanu reeves isnt alone "                                                                                                                    
[25] "now fine fleeing couple chemistry really portray paranoia vulnerability confusion "                                                                          
[26] " dont get "                                                                                                                                                  
[27] " get thinking hes still speed now sandra bullock english accent probably doesnt drive bus hardly contributes anything movie "                                
[28] " producers probably thought hey keanu rachel dont hit well "                                                                                                 
[29] "lets rope morgan help us "                                                                                                                                   
[30] "well keanu rachel didnt hit well screen unfortunately morgan freeman doesnt help much either "                                                               
[31] " thing come really know paul shannon always full load cigars cigar holder "                                                                                  
[32] " really fault "                                                                                                                                              
[33] " andrew davis just doesnt take time build characters "                                                                                                       
[34] "someone must convinced time round cinema dollars best earned making movie run like headless chicken "                                                        
[35] " flying inkpot rating system wait tv broadcast "                                                                                                             
[36] " little creaky still better staying home gotcha "                                                                                                            
[37] " pretty good bring friend "                                                                                                                                  
[38] " amazing potent stuff "                                                                                                                                      
[39] " perfection "                                                                                                                                                
[40] "see twice "                                                                                                                                                  
