 [1] " anything stigmata taken warning releasing similarlythemed films relatively close one another "                                                                                         
 [2] " four supernatural horror flicks released year clearly worst "                                                                                                                          
 [3] " suppose seen coming "                                                                                                                                                                  
 [4] " blair witch thoroughly creeped sixth sense mildly spooky stir echoes moments wasnt anything id lose sleep "                                                                            
 [5] "clearly quality horror summer slowly dropping "                                                                                                                                         
 [6] " surprise stigmata dullest horribly executed piece mtvinfluenced tripe seen long "                                                                                                      
 [7] " really "                                                                                                                                                                               
 [8] "patricia arquette plays frankie page hairdresser pittsburgh receives rosary gift globetrotting mother "                                                                                 
 [9] " turns rosary belonged recentlydeceased brazilian priest "                                                                                                                              
[10] " priests church investigation father andrew kiernan gabriel byrne mysterious appearance bleeding statue "                                                                               
[11] "father kiernan investigator made career disproving supposed religious signs time believes something bleeding statue "                                                                   
[12] " investigation soon called however frankie starts exhibiting signs stigmata person inflicted wounds like jesus christ "                                                                 
[13] "father kiernan initially skeptical frankie s story considering shes atheist witnesses stigmata attacks dedicates finding going "                                                        
[14] " eventually begins suspect boss cardinal houseman jonathan pryce concealing something bring catholic church "                                                                           
[15] " turns dead priest working translation fifth gospel excommunicated "                                                                                                                    
[16] " new rupert wainwright music video "                                                                                                                                                    
[17] " "                                                                                                                                                                                      
[18] " "                                                                                                                                                                                      
[19] " mean film stigmata sort film starts ok gets worse "                                                                                                                                    
[20] "indeed good music video interesting five minutes "                                                                                                                                      
[21] "im sure wainwright trying prove endless parade slowmotion doubleexposure extreme closeups whoaaaaaa fact swelled head director hollywood yes film school "                              
[22] " camera trickery interesting little eventually becomes headacheinducing "                                                                                                               
[23] " film needed second audio track played dialogue wainwright screaming audience see "                                                                                                     
[24] "look can "                                                                                                                                                                              
[25] "im excellent director "                                                                                                                                                                 
[26] "maybe hed explain decided start half scenes slowmotion shots water dripping reverse included random superfluous shots egg frying ooh scary "                                            
[27] " underlying meaning behind camera trickery didnt see "                                                                                                                                  
[28] "just thought safe get involved story comes doubleexposure shot two patricia arquettes collapsing bed reason whatsoever "                                                                
[29] "arrrrrrrghhhh "                                                                                                                                                                         
[30] " "                                                                                                                                                                                      
[31] " "                                                                                                                                                                                      
[32] " superfluous camera trickery wouldnt bother stigmata story characters remotely engaging "                                                                                               
[33] "though wainwrights vanity certainly doesnt help seem given nearly unworkable script "                                                                                                   
[34] " plot continuity character development need "                                                                                                                                           
[35] "case point frankie page character assume supposed identify sympathize arent given back story character reason like "                                                                    
[36] " extent character development seems hardworking hairdresser can somehow afford cavernous apartment top floor building shes kind cute lets start bleeding "                              
[37] " fact shes clearly brightest bulb drawer doesnt help either "                                                                                                                           
[38] "according frankie page first thing receiving mysterious wounds wrists back "                                                                                                            
[39] "go clubbing "                                                                                                                                                                           
[40] "sure makes sense "                                                                                                                                                                      
[41] "arquette byrne pryce give old college try characters onedimensional just appear sleepwalking "                                                                                          
[42] "scenes arquette byrne probably supposed sexually charged fall almost embarrassingly flat setup romantic subplot clumsily handled almost reaches point becoming laughable "              
[43] "even though frankie pages life falling apart eyes still finds time hit priest wanders hair salon "                                                                                      
[44] "even curiously seems interested advances "                                                                                                                                              
[45] "father andrews religious doubt pops suddenly seems silly dramatic "                                                                                                                     
[46] " pryce may well wear curled mustache cackle ill get pretty depth cardinal houseman afforded "                                                                                           
[47] "trust im revealing anything telling pryce turns villain "                                                                                                                               
[48] "whats worse faced dull characters prospect annoying camera tricks loud music jammed throats now contend story starts one direction veers another another ends totally incomprehensible "
[49] "first film doesnt even bother explain simple plot details frankie get stigmata merely touching rosary "                                                                                 
[50] " come atheist like chosen since father andrew mentions devout believers ever received stigmata "                                                                                        
[51] "actually im sure frankie posessed "                                                                                                                                                     
[52] "supposedly stigmata occurs one posessed holy spirit film later posessed dead priest later evil spirit think "                                                                           
[53] " one "                                                                                                                                                                                  
[54] " answer question course simple possessing entity scene determined whichever effects flashy camera work mr wainwright wants use time "                                                   
[55] "furthermore ending ridiculously neat little wrapup filmmakers compound problem ultimately turning film diatribe catholic church "                                                       
[56] " research gospel st thomas youll find suppressed church film seems claim readily available local library "                                                                              
[57] "theres nothing catholics need worry though "                                                                                                                                            
[58] " stigmatas religion offbase cant confused anything remotely resembling real catholic church "                                                                                           
[59] " wanted portray catholic priests mobsters gone allout equipped sharkskin suits tommy guns far interesting "                                                                             
[60] "im catholic fact don t care much catholic church cartoonish misrepresentation film considered realistic means "                                                                         
[61] " rare see film fails many levels stigmata "                                                                                                                                             
[62] " s thoughtprovoking though like definitely scary though pretends "                                                                                                                      
[63] "im sure tried pass horror film absolutely nothing scary story "                                                                                                                         
[64] "maybe attempt cover fact none scenes dramatic weight whatsoever "                                                                                                                       
[65] " initial shock seeing arquette covered blood dulled fact happens "                                                                                                                      
[66] "like many films mtv generation one suffers overkill "                                                                                                                                   
[67] " much overdone stigmata eventually effect audience leaving us pick films many flaws "                                                                                                   
[68] "im also still trying figure quotation take gospel st thomas earthshattering "                                                                                                           
[69] " finally hear saying sounds like something every fiveyearold learns first day sunday school means flash whole film really much ado nothing "                                            
[70] " dog days summer usually produce one monstrous dog stigmata "                                                                                                                           
