 [1] " american action film slowly drowning death sea asian wirefu copycats "                                                                                                                                                                                    
 [2] " pretty death leaving likes schwartznager stallone van damme wearing cement galoshes bottom kung fu sea "                                                                                                                                                  
 [3] "sometimes mix results mindblowing spectacle unlike "                                                                                                                                                                                                       
 [4] "quality action amazing exciting stunt work s matrix can real gem "                                                                                                                                                                                         
 [5] " often hollywood gets wrong even pay chinese directors "                                                                                                                                                                                                   
 [6] "flying ninjas floating karate masters replaced soaring bronx detectives slow motion kicking scientists "                                                                                                                                                   
 [7] "mostly laughable "                                                                                                                                                                                                                                         
 [8] " hollywoods rush emulate success matrix trademark asian stunt choreography become joke art form "                                                                                                                                                          
 [9] " iron monkey latest asian import shows us get right "                                                                                                                                                                                                      
[10] "iron monkey actually reissue film story th chinese vigilante rongguang yu fighting unique style shaolin kung fu rights oppressed bellies hungry "                                                                                                          
[11] " also piece narrative legendary chinese film hero wong feihong recently seen one overlooked possibly best films drunken master released u s legend drunken master "                                                                                        
[12] "unlike drunken master stars jackie chan adult feihong iron monkey finds much younger feihong szeman tsang father wong keiying yen chi dan thrust middle iron monkeys fight oppression "                                                                    
[13] "iron monkey succeeds kung fu film since drunken master times fighting styles especially monkey devolve ridiculous twinkletoed floating films like crouching tiger hidden dragon director yuen wo ping eventually remembers bring action scenes back earth "
[14] "iron monkey heart hardcore kung fu action film rather kind drama la crouching tiger "                                                                                                                                                                      
[15] "however brief moments profoundness shared characters pass outlaw hero goodhearted misguided enemy chief fox "                                                                                                                                              
[16] " moments others iron monkey manages transcend mindless kung fu nature touch hearts minds audience "                                                                                                                                                        
[17] " way equal masterpiece like drunken master iron monkey dances quite nicely invading kung fu tune "                                                                                                                                                         
[18] "aka siunin wong feihung tsi titmalau "                                                                                                                                                                                                                     
