 [1] " evil dead ii bad movie "                                                                                                                                           
 [2] " full terrible acting pointless violence plot holes yet remains cult classic nearly fifteen years release "                                                         
 [3] "explaining movie stands others similar plots including original evil dead extremely difficult "                                                                     
 [4] "well whats "                                                                                                                                                        
 [5] "five people stranded log cabin middle nowhere struggling survive vicious attacks variety ugly hairy wart covered monsters "                                         
 [6] "come saw movie just like monster vision last week "                                                                                                                 
 [7] " see "                                                                                                                                                              
 [8] " evil dead ii different funny "                                                                                                                                     
 [9] " funny see people die "                                                                                                                                             
[10] " sick something "                                                                                                                                                   
[11] "maybe maybe director sam raimi well create enigma movie "                                                                                                           
[12] " unique execution sarcastic subtle disturbing hilarious "                                                                                                           
[13] " example raimis odd approach monster formerly protagonist ashs girlfriend people cut half chainsaw tidal wave blood comes open wound "                              
[14] "sure overthetop overthetop laugh loud funny just try watching ash straight face unexpectedly showered ten gallons blood staining face knocking back feet "          
[15] " whole movie like watch ash get beat watch ash defeat monster watch ash get beat another even zanier monster "                                                      
[16] " repetitive unrealistic movie gets amusing becomes "                                                                                                                
[17] " matter sick may sound funny watch bruce ampbells ash get butt kicked every five minutes "                                                                          
[18] " raimi takes advantage ash tormented head girlfriend body old lady even right hand "                                                                                
[19] "like less superior idle hands watch ash uncontrollably hit forced cut body part "                                                                                   
[20] " doesnt end ash now fight severed hand now moves celerity thing addams family "                                                                                     
[21] " events thrown minute one roller coaster like camera movements first become shocking inexplicably funny "                                                           
[22] "raimi expects audience laugh film progresses seems enjoying even borrowing classic mirror scene marx brothers duck soup bringing characters picture comically kill "
[23] " running time less hour half raimi gets away impossible making horror film gore plot intentionally laughs scares "                                                  
[24] "ending evil dead ii opening third film series raimi obviously lot fun making movie couldnt wait make sequel "                                                       
