 [1] " say "                                                                                                                                                                                          
 [2] "tim burtons retelling planet apes fun barrel monkeys "                                                                                                                                          
 [3] "ok thats chest "                                                                                                                                                                                
 [4] " monkey puns promise "                                                                                                                                                                          
 [5] "seriously though planet apes one riproarin summer outing filled thrills action adventure wit bits funny dare say monkey business "                                                              
 [6] " know know promised "                                                                                                                                                                           
 [7] " film buffs fond original burtons version includes couple tips hat movie "                                                                                                                      
 [8] "mark wahlberg stars capt leo davidson deepspace pilot whose ship gets drawn magnetic field hurled future "                                                                                      
 [9] " crash lands planet apes dominant species humans hunted captured sold slavery "                                                                                                                 
[10] "despite darker original burtons film heavy handed sanctimonious "                                                                                                                               
[11] " movies flashes humor surreal well typically burton organgrinder ape midget elderly ape taking wig removing false teeth prepares bed "                                                          
[12] " parents buy little girl pet young daughter "                                                                                                                                                   
[13] " seller advises parents get rid girl reaches puberty one thing dont want house human teenager says "                                                                                            
[14] " dont ape realize truth statement "                                                                                                                                                             
[15] "touches stamps movie burtons brand "                                                                                                                                                            
[16] "lines hearken back original movie sprinkled throughout first words spoken ape davidson astronaut regaining consciousness grabs simians foot try righting take stinking hand damned dirty human "
[17] "anyone familiar first version film will course recognize irony piece dialogue "                                                                                                                 
[18] "another burtons injokes charlton heston star original play chimpanzee father tim roths gen thade "                                                                                              
[19] " young chimp goes visit dying father "                                                                                                                                                          
[20] " one thing common hatred humans "                                                                                                                                                               
[21] " dying breath elder spews vile damn damn hell says expiring "                                                                                                                                   
[22] " famous line hestons taylor shouted conclusion original discovering planets terrible secret "                                                                                                   
[23] " performances throughout topnotch "                                                                                                                                                             
[24] "wahlberg plays davidson gungho hero confused somewhat frightened explorer wants return home "                                                                                                   
[25] " reluctant lead human rebellion objective find way upsidedown planet "                                                                                                                          
[26] " hesitation makes character believable vulnerable "                                                                                                                                             
[27] "roth ferocious cunning cruel savage fascist chimp wants rid planet vestiges humanity "                                                                                                          
[28] " leaps bounds springs feet "                                                                                                                                                                    
[29] " masterful turn "                                                                                                                                                                               
[30] "helena bonham carter ari chimp believes apes humans can live peace equals "                                                                                                                     
[31] " smart compassionate characterization "                                                                                                                                                         
[32] "michael clarke duncan big brutal attar gorilla aid thade blindly follows leader faith shaken "                                                                                                  
[33] " fine comic outing given paul giamatti limbo ape slave trader making living misery humans captures "                                                                                            
[34] " battle apes humans looms cowardly limbo pleads cant just get along echoing words rodney king "                                                                                                 
[35] "much success planet apes goes burtons technical crew especially production designer rick heinrichs legendary rick baker created ape makeup "                                                    
[36] "burtons musical collaborator danny elfman provides another fine score though memorable work batman sleepy hollow "                                                                              
[37] " movies letdown comes end burton tries outshock finale original "                                                                                                                               
[38] " comes close falls short "                                                                                                                                                                      
[39] "otherwise planet apes summer movie amusement park ride filled lots action stunts laughs "                                                                                                       
[40] " one feature expectations lived prerelease hype "                                                                                                                                               
