 [1] "synopsis bobby garfield yelchin lives small town mirthless widowed mother hope davis "                                                    
 [2] "bobbys world revolves around friends especially spritely carol boorem "                                                                   
 [3] " one day new boarder arrives bobbys house "                                                                                               
 [4] "ted brautigan hopkins enigmatic man bobby takes immediate liking "                                                                        
 [5] " bond bobby ted deepens bobby becomes privy teds great secret event will change lives forever "                                           
 [6] "review small enchanting movie hearts atlantis easily recalls another kinginspired comingofage film stand terms setting sentiment conveys "
 [7] " hearts tribute magic childhood summers days seem neverending nothing means closest friends "                                             
 [8] "unlike stand supernatural element hearts although key plot prominent "                                                                    
 [9] "like stand mostly characterdriven film benefits greatly superb casting "                                                                  
[10] "yelchin good bobby finding good mix innocence resignation "                                                                               
[11] " splendid still boorem praised highly work along came spider simply radiant carol "                                                       
[12] " hopkins despite playing quiet introspective character ted nonetheless commands attention every time onscreen "                           
[13] "less successful davis whose strident elizabeth comes across overly cartoonish "                                                           
[14] " also found odd bobby carols friend sully whose death adult sets movies flashback framing device paid virtually attention "               
[15] " hicks direction lovely without cloying despite movies general lack incident never ceases weave spell audience "                          
