 [1] " ive told several people youre old fashioned "                                                                                                                                                       
 [2] " want everything hand topiary gardener george mendonca complains defending continued resort hand shears trimming intricately privetsculpted animal creations "                                       
 [3] " way can right "                                                                                                                                                                                     
 [4] "snip snip "                                                                                                                                                                                          
 [5] " people believe gonna replace building machines may muses mit robot scientist rodney brooks builds robots run instinct "                                                                             
 [6] " may place humans future really successful "                                                                                                                                                         
 [7] " feel theres looking directly errol morriss camera "                                                                                                                                                 
 [8] " know "                                                                                                                                                                                              
 [9] " know "                                                                                                                                                                                              
[10] " ways slickest film yet nonfiction auteur morris thin blue line brief history time fast cheap control reportage highest order "                                                                      
[11] "journalism students dream making connections like "                                                                                                                                                  
[12] "crosscutting among interviews filmed segments morris traces lives four disparate professionals seem share nothing immersion work threads around one another intricate quadruple helix "              
[13] " fun settling theater seat wondering just hell one story can possibly "                                                                                                                              
[14] " morris manages something akin intellectual magic trick interrogative sleight hand "                                                                                                                 
[15] "one things feels different errol morris documentary besides alwaysstriking visuals interview style subjects seem look directly viewer "                                                              
[16] "weary pressing cheek camera lens get effect conversations morris developed elaborate doublecamera gadget calls halfjokingly interrotron "                                                            
[17] " rig uses pair teleprompters project video images interviewer subject vice versa folks talk startlingly right camera video image morris extension audience "                                         
[18] " gardener wonders whether death anyone will interested maintaining garden hes devoted half life tending "                                                                                            
[19] " robot scientist little pleased note creations may primal examples insect even animal complicated set sensory receptors "                                                                            
[20] " mole rat specialist delighted catalog ways vermin animals behave like insects notes may suited longterm survival people "                                                                           
[21] " circus trainer pines longlost ideal exemplified worldrenowned trainer showman clyde beatty starred serials zombies stratosphere excerpted length affection "                                        
[22] "starting detect patterns "                                                                                                                                                                           
[23] "fast cheap control contains multitude parallels tiny intersections culminating feels like elegy film dedicated morriss late mother stepfather "                                                      
[24] " film balanced airy precipice dividing already musty past alternately exhilarating terrifying space future "                                                                                         
[25] " title taken brooks wish nasa send payload hundreds expendable robots scurry martian surface creating sort road map terrain fast cheap control "                                                     
[26] " able assists editors karen schmeer shondra merrill cinematographer robert richardson oliver stones longtime collaborator becomes cinematic contraption thats wonder narrative divergence coherence "
[27] " enhancing pictures wacky intellectual mood playful score alloy orchestra founder caleb sampson "                                                                                                    
[28] "different story threads inform comment one another serene inscrutability kieslowski film surrealist dream "                                                                                          
[29] " cobbling together motley musings thesis nature craftsmanship invention existence morris reveals presence cosmic themes creation evolution death earthbound lives "                                  
[30] " time just significantly pays tribute consuming passion ones work "                                                                                                                                  
[31] " breakdown dichotomy everyday extraordinary likely profound anything youll encounter pop culture year visuals cry big screen "                                                                       
[32] "dont miss "                                                                                                                                                                                          
[33] " directed errol morris edited karen schmeer shondra merrill cinematography robert richardson music caleb sampson u s "                                                                               
