 [1] " deer hunter directed michael cimino truly one greatest movies ever made "                                                                      
 [2] " captivating drama lives group friends small russianamerican pennsylvania community deer hunter promises one movies will never forget "         
 [3] " academy award winner best picture outstanding performances turned actors ciminos brilliant directing provides perfect vision characters lives "
 [4] " first act film provides us inside look lives group men small community work hang together "                                                    
 [5] "michael portrayed perfectly robert de niro shown early natural leader group "                                                                   
 [6] " days work men leave jobs factory head local bar john george dzundza works "                                                                    
 [7] "three men michael steven john savage nick christopher walken will leaving shortly vietnam steven gets married "                                 
 [8] " marriage group including axel chuck aspegren spend one last day hunting trip one favorite pasttimes "                                          
 [9] " sequence events enables us view lifestyle normal group men will suddenly permanently affected ravages separations war "                        
[10] " wedding scenes although criticized many quite long actually enhance even purpose first act "                                                   
[11] " outstanding performances de niro walken streep savage cazale died shortly filming movie completed really begin shine promise halt near future "
[12] " second act movie begins trio men front lines vietnam stationed south vietnamese village attacked viet cong "                                   
[13] " men eventually captured held floating prison river "                                                                                           
[14] " prison run v c "                                                                                                                               
[15] "initiates horrifying scenes movie prisoners forced play russian roulette "                                                                      
[16] "steven emotionally marred turn events secluded tiger cage water face refuses participate "                                                      
[17] "michael shows leadership convincing nick way steven will survive two friends play moreover must play bullets gun "                              
[18] "personally felt de niros absolutely gripping portrayal really displayed brilliant way following scenes "                                        
[19] " men eventually able escape separated "                                                                                                         
[20] "michael able get steven ends losing legs medical care nick finds way saigon u s army hospital "                                                 
[21] "michael returns home feel like hero "                                                                                                           
[22] " wants avoid celebrations recognition friends like bestow upon "                                                                                
[23] " assumes nick still lost vietnam "                                                                                                              
[24] " third act concentrates walkens character eventually stumbles upon small gambling operation game russian roulette "                             
[25] " game play money "                                                                                                                              
[26] "michael learned nick possibly still alive returns saigon attempt find "                                                                         
[27] " two narrowly find russian roulette games link michael discovers nick participating games tries bring home "                                    
[28] " emotional many disturbing movie deer hunter truly magnificent movie missed "                                                                   
[29] " greatest performances possible turned actors ciminos directing considered alltime best film equally dazzling "                                 
[30] " miss film will captivate astound "                                                                                                             
