 [1] "note may consider portions following text spoilers "                                                                                                                                                                                                                                                                                                                                             
 [2] " forewarned "                                                                                                                                                                                                                                                                                                                                                                                    
 [3] " december amidst yearend oscar bait releases major studios miramaxs genre label dimension films quietly released sly little ensemble slasher flick titled scream "                                                                                                                                                                                                                               
 [4] "although teen horror market given allbutdead recent years film shocked industry observers scoring consistently high box office returns eventually topping million domestic becoming one successful films type history delighting audiences finally presenting set knowing slasher flick protagonists aware standard cliches associated genre "                                                   
 [5] " sleeper success scream sent shockwaves industry suddenly everybody looking hip inexpensive fright films might able reap similar fortunes "                                                                                                                                                                                                                                                      
 [6] " strategy casting young tv stars draw youth demographic given boost "                                                                                                                                                                                                                                                                                                                            
 [7] "scream director wes craven previously best known creator new lines nightmare elm street film series thrust back limelight "                                                                                                                                                                                                                                                                      
 [8] " screams rookie scribe kevin williamson burst onto film scene stunning fashion "                                                                                                                                                                                                                                                                                                                 
 [9] " hard understate last point "                                                                                                                                                                                                                                                                                                                                                                    
[10] "mr williamson based upon produced screenplays writing scream know last summer october now scream enjoyed meteoric rise fame quickly become wellknown screenwriter amongst entertainment weeklyreading box office figurewatching youth culture since well since quentin tarantino guy said also achieved renown director "                                                                        
[11] "indeed singularly freakish oddity screenwriter mr williamson director receiving lions share acclaim success scream print advertisements scream s theatrical release similarly indicative increasing prominence traditional film wes craven drapes films title ads right equal sized font yet reads written kevin williamson affirmation screenwriters contribution project may unprecedented "   
[12] " can envision board wga licking chops coup counting days goal film attained "                                                                                                                                                                                                                                                                                                                    
[13] " much like mr tarantinos screenwriting mr williamsons work vaguely unconventional incorporating contemporary pop culture references allusions films dialogue characters "                                                                                                                                                                                                                        
[14] " scream satirically discussed horror films sequel characters discuss relative merits film sequels "                                                                                                                                                                                                                                                                                              
[15] "scream written infamous bob dole rampage hollywood mr williamsons rejection tirade clearly influenced writing film sequel "                                                                                                                                                                                                                                                                      
[16] " sequel planned outset treatment scream included mr williamson sold screenplay scream basic premise film reunion surviving characters nevertheless seems extremely artificially contrived films midway point becomes engaging "                                                                                                                                                                  
[17] "like predecessor scream opens splashy eyegrabbing prologue vaguely ties films principal narrative time around following exploits young couple jada pinkett omar epps attending riotously gleeful sneak preview screening stab running filmwithinafilm gag true life events behind first film turned movie "                                                                                      
[18] "however although tries hard good ideas nightmarishly enthusiastic audience film vaguely reminded one sharing theatre certainly thinking gutting overlynoisy person seats away fifteen minutes prologue pale imitation bravura opening sequence original drew barrymore performance convinced act good rank among best performances horror film ive ever seen "                                   
[19] " many knowing hip popculture references crammed scream sequence setup isnt nearly cleverly frightening screams first films preface dizzyingly built final shot exhilaratingly terrifying payoff almost campily theatrical "                                                                                                                                                                      
[20] "flash campus smalltown ohio college returning characters sidney neve campbell randy jamie kennedy relocated studies escape notoriety events first film "                                                                                                                                                                                                                                         
[21] " murders open film result reuniting survivors singleminded tabloid tv reporter gale weathers courteney cox roars town cover breaking story everawkward former deputy dewey riley david arquette flies protectively guard sidney "                                                                                                                                                                
[22] "theyre joined cotton weary liev schreiber falsely accused homicide cameo appearance first film role significantly expanded "                                                                                                                                                                                                                                                                     
[23] " film incidentally provides surprisingly little backstory although suppose good case can made really isnt necessary many people seen first installment sequel slasher film think happened characters prior movie "                                                                                                                                                                               
[24] "theres lot new faces scene sidneys new boyfriend derek jerry oconnell new roommate hallie elise neal randys fellow film student mickey timothy olyphant gales newlyassigned nervous cameraman joel duane martin omnipresent local journalist debbie salt laurie metcalf coed cici cooper ms buffy sarah michelle gellar pair simpering sorority sisters rebecca gayheart sirens portia di rossi "
[25] " characters killer matter next victim "                                                                                                                                                                                                                                                                                                                                                          
[26] " seemingly becoming regular staple kevin williamson screenplay narrative framed around increasinglyflimsy premise whodunit "                                                                                                                                                                                                                                                                     
[27] "one problem scream didnt keeping interested identity killer "                                                                                                                                                                                                                                                                                                                                    
[28] " extent know last summer mr williamsons screenplay seems slightly hampered trying turn identity killer mystery "                                                                                                                                                                                                                                                                                 
[29] " film occasionally becomes bogged misdirection can sense straining seams try drop red herrings left right expense thriller elements "                                                                                                                                                                                                                                                            
[30] " doesnt help matters killers alterego fairly obvious getgo "                                                                                                                                                                                                                                                                                                                                     
[31] "indeed finale plays fullout camp villain finally unmasked frothing mouth glazed eyes "                                                                                                                                                                                                                                                                                                           
[32] " one cases villain goes endless diatribe machinations scheming motivation actually get bored listening just want get "                                                                                                                                                                                                                                                                           
[33] " basic setup premise film fairly contrived aspect headandshoulders predecessor suspense sequences "                                                                                                                                                                                                                                                                                              
[34] "theyre staged much imaginatively save first postprologue murder handled mediocre conventional fashion seems culled directly predictable s slasher flicks first film satirized much fun watch "                                                                                                                                                                                                   
[35] " hard hold back smile giddy scene sidney companion climb incapacitated killer order escape car wreck catandmouse chase involving gale dewey campus sound lab nicely staged although ultimate resolution hilariously overblown "                                                                                                                                                                  
[36] " terms characters strong part film interesting relationship gale dewey ambles onto screen accompanied theme music "                                                                                                                                                                                                                                                                              
[37] " verbal sparring outset provides much humour exchange dewey defensively rebukes charges perceived aura incompetency wellwritten theres curiously endearing aspect relationship amidst mayhem bloodshed "                                                                                                                                                                                         
[38] " hand sidney pretty dull "                                                                                                                                                                                                                                                                                                                                                                       
[39] " doesnt compelling presence theres nothing particularly interesting time around make us care shes returning heroine "                                                                                                                                                                                                                                                                            
[40] "given fact theres strong second banana character sidney elise neals role isnt nearly substantive enough adequately fill rose mcgowans shoes wonder roles gale dewey significantly augmented installment film "                                                                                                                                                                                   
[41] " surprises scream zealousness decimating cast "                                                                                                                                                                                                                                                                                                                                                  
[42] " films mounting body count bears fact character safe well almost principal applaud bold policy point youve got wondering just many characters will make next sequel "                                                                                                                                                                                                                            
[43] " particularly surprised untimely demise one particular whose casting next installment series wouldve seemed obvious "                                                                                                                                                                                                                                                                            
[44] " hey rose mcgowans character said first film please dont kill mr ghostface want sequel "                                                                                                                                                                                                                                                                                                         
[45] "look got "                                                                                                                                                                                                                                                                                                                                                                                       
