 [1] "contact movie ive seen five times exact "                                                                                                                                                                           
 [2] "four times big screen even tv impressive film "                                                                                                                                                                     
 [3] " cant said films like independance day thats contact rare example scifi filmmaking story treated importantly special effects us know looking back id didnt offer much outside onetime delightful eye candy "        
 [4] "contacts wonderfully presented story deals ellie arroway jodie foster radio astronomer whose preference study involves outdated technique merely listening sounds space "                                           
 [5] " interest field astronomy developed young age encouraged loving father ted david morse let ellie use small ham radio pick frequencies communicate people far away pensacola fl course days internet chat rooms "    
 [6] " everyone else uses modern technologies aid search extraterrestrial intelligence program seti acronym ellie prefers pop pair headphones see can pick keeping youthful magic intrigue strongly alive "               
 [7] "ellies strong scientific basis essentially makes atheist belief likely influenced death father still quite young "                                                                                                  
 [8] " puerto rico meets palmer joss matthew mcconaughey writer examining effects technology worlds overall happiness one time seminary student describes man cloth without cloth "                                       
 [9] "despite vast differences opinion regarding supreme ellie palmer hit even take time sleep together "                                                                                                                 
[10] " weak hurried relationship director zemeckis needs add plot later "                                                                                                                                                 
[11] "meanwhile dr david drumlin tom skerritt authority seti finds program frivolous waste time money ready pull plug seti funding "                                                                                      
[12] " leaves passionate ellie searching new sponsors eventually finding setup new mexico leaving palmer explanation one night stand remember "                                                                           
[13] " nm city several months later ellie finally picks strong signal outer space perhaps profound discovery history science "                                                                                            
[14] " signal closely examined many new developments spring long drumlin stepping take operation scoffed "                                                                                                                
[15] "eventually concluded information signal may blueprints transportation device used teleport earthling vega signal seems originated "                                                                                 
[16] " media swarms fanatics go deep end scientists clamor new information politicians huddle discussion appropriate actions take presidents morphed celluloid reality remember zemeckis couldnt get enough forrest gump "
[17] " werent enough ellies discovery leads nations capital runs palmer "                                                                                                                                                 
[18] "contact based novel carl sagan deals heavily subject science vs religion "                                                                                                                                          
[19] " impressive thing well aspects presented signs bias "                                                                                                                                                               
[20] "arguments sides intelligent solid thoughtprovoking "                                                                                                                                                                
[21] " palmer joins selection committee choose ambassador vega ellie leading candidate personal convictions play important role love interests "                                                                          
[22] " question can person doesnt believe god truly best representative earth planet believe higher power "                                                                                                               
[23] "even film wraps uncertain whether meant play advocate religion science even neither modern day society right wrong opinion least speaking politically correctly ambiguity incentive "                               
[24] "dont get wrong "                                                                                                                                                                                                    
[25] " much sounds like contact isnt merely theology class rolled reel film "                                                                                                                                             
[26] " highly enjoyable two half hours "                                                                                                                                                                                  
[27] "despite seemingly heavy issues tedious undertaking watch film "                                                                                                                                                     
[28] " special effects outstanding though warning "                                                                                                                                                                       
[29] "highly depreciated small screen "                                                                                                                                                                                   
[30] "even subtle visual effects will likely go unnoticed many even impressive ones recognizable scifi "                                                                                                                  
[31] " storytelling rich complete although moments film feel quite pretentious times even hokey easily one best films one best scifi films ive ever seen "                                                                
[32] " zemeckis best since back future us actually know forrest gump astronomically overrated zemeckis now real reason boast "                                                                                            
