 [1] "carry matron last great carryon film opinion "                                                                                                                                                                                                                    
 [2] "made still features regulars genre "                                                                                                                                                                                                                              
 [3] "sid james plays head gang crooks intent stealing contraceptive pills local maternity hospital selling make profit kenneth williams sir bernard cutting head hospital also hypochondriac hattie jacques retakes role matron charles hawtrey psychiatrist dr goode "
 [4] " jokes come fast laughs humorous antics matron sir bernard "                                                                                                                                                                                                      
 [5] " time williams matron jacques needs prove man visiting dr goode "                                                                                                                                                                                                 
 [6] " doctor hawtrey sworn secrecy assure anything say today will go one ear straight "                                                                                                                                                                                
 [7] "bernard thinks sex change needs prove "                                                                                                                                                                                                                           
 [8] " great cameos joan sims expectant mother many weeks overdue eating constantly every scene kenneth connor expectant father still thinks hes work railway station "                                                                                                 
 [9] "sid james gang including cyril son kenneth cope try find pills getting cyril dress nurse live nurses home "                                                                                                                                                       
[10] " share room nurse ball barbara windsor soon sees "                                                                                                                                                                                                                
[11] " film ends attempted robbery hospitals pills panic ensuing "                                                                                                                                                                                                      
[12] " good performances hattie jacques matron however character seems little subdued quieter previous matrons "                                                                                                                                                        
[13] "williams usual top form sid james isnt given good part movie forgive anyone forget movie "                                                                                                                                                                        
[14] " go charles hawtrey although first appears movie minutes gone scarce screen time seems steal every scene "                                                                                                                                                        
[15] " making use sid james barbara windsors talent full effect film seems flounder certainly makes good storyline appealing characters "                                                                                                                               
[16] " film genuinely funny watch get bored "                                                                                                                                                                                                                           
