 [1] "virtual reality topic almost defined genre "                                                                                                                                                                                          
 [2] "since dark city films alternative universes parallel worlds coming one another "                                                                                                                                                      
 [3] " popular original matrix "                                                                                                                                                                                                            
 [4] " films released less successful "                                                                                                                                                                                                     
 [5] "david cronenbergs existenz released couple months matrix accepted even appreciated hype gone "                                                                                                                                        
 [6] " thirteenth floor aired fall completely overseen ignored "                                                                                                                                                                            
 [7] " admit issue become something tiring annoying feeling like eating meal "                                                                                                                                                              
 [8] " therefore less excited went see thirteenth floor "                                                                                                                                                                                   
 [9] "however positively surprised josef rusnaks latest picture "                                                                                                                                                                           
[10] "matrix entertaining thrill ride dreams reality combining best hollywoods action effects intelligent story "                                                                                                                           
[11] "existenz violent gory unsettling journey reality virtual reality ending blood madness "                                                                                                                                               
[12] " thirteenth floor somewhere "                                                                                                                                                                                                         
[13] "instead going crowds action audience like matrix aiming horror fans like existenz thirteenth floor presents intelligent plot witch will provide less entertaining serious experience true science fiction lovers will find rewarding "
[14] " near future "                                                                                                                                                                                                                        
[15] " thirteenth floor classified building genius scientist hannon fuller created simulated world personal dreamworld every inhabitant complex selflearning program believes real "                                                        
[16] "right first testing world fuller found murdered "                                                                                                                                                                                     
[17] "douglas hall closest friend business partner immediately becomes prime suspect must enter thirteenth floor search truth "                                                                                                             
[18] " beautiful woman gretchen mol suddenly appears scene may hold key mystery might unravel horrifying truth existence "                                                                                                                  
[19] " first download simulation impressive "                                                                                                                                                                                               
[20] " creators first visit world creation "                                                                                                                                                                                                
[21] " order enter virtual universe take someones identity become another person "                                                                                                                                                          
[22] " called conciseness transfer part tragedy film people wake unknown places strange things start happen "                                                                                                                               
[23] " start doubt sanity "                                                                                                                                                                                                                 
[24] " innocent people pay mistakes users creators sanity lives "                                                                                                                                                                           
[25] " frightening reality fact people simulation program links living lives oblivious knowing puppets someones fantasy "                                                                                                                   
[26] " appealing blade runner type detective story film presents beauty possibilities virtual reality lurking danger always present "                                                                                                       
[27] " modern world metal glass cold unfriendly impersonal "                                                                                                                                                                                
[28] " thirties different colorful beautiful elegant virile "                                                                                                                                                                               
[29] " contrast demonstrates wish change "                                                                                                                                                                                                  
[30] "virtual reality portrayed magical enchanting power seduces endless possibilities "                                                                                                                                                    
[31] " just journey personal paradise personal playground life without consequences "                                                                                                                                                       
[32] " others way start correct mistakes living illusion past "                                                                                                                                                                             
[33] "virtual reality wizard transforms hopes dreams fantasies life "                                                                                                                                                                       
[34] " least thats beginning "                                                                                                                                                                                                              
[35] " youre waking dream real world seems worthless unreal can think returning personal paradise "                                                                                                                                         
[36] " almost narcotic effect soon turns confusion ultimately madness "                                                                                                                                                                     
[37] " important interesting philosophical questions raised real "                                                                                                                                                                          
[38] " thought "                                                                                                                                                                                                                            
[39] " "                                                                                                                                                                                                                                    
[40] " answered film greatest science fiction ever made "                                                                                                                                                                                   
[41] " course answered posed intelligent manner "                                                                                                                                                                                           
[42] " visual aspect film one key elements since portrays contrast computersimulated universes "                                                                                                                                            
[43] "kirk m petrucelli done marvelous job recreation thirties glamour grace color setting world opposition almost caricatured recreation nineties "                                                                                        
[44] " honest decent performances almost unknown cast harald kloses moody musical score right place right time "                                                                                                                            
[45] " rather unusual thing aboutthe thirteenth floor almost complete lack special effects "                                                                                                                                                
[46] " cgi animated creatures bullets slow motion "                                                                                                                                                                                         
[47] " philosophical approach reminding european way filmmaking "                                                                                                                                                                           
[48] " course major disappointment audience used endless gunfights mutated amphibians serious science fiction buffs dark cityfans will pleased "                                                                                            
[49] " film interesting inspiring "                                                                                                                                                                                                         
[50] " everything existenz doesnt lacks immediacy intensity matrix "                                                                                                                                                                        
[51] " happy end like dark city completely alienates rest story context "                                                                                                                                                                   
[52] " plot original filmmakers want us think since virtually sucked information best science fiction classics including blade runner dark city "                                                                                           
[53] " mind thirteenth floor doesnt make oscar candidate film will remembered year now yet beautiful elegant intelligent take virtual reality "                                                                                             
