 [1] " exists litany differences successful action movie successful suspense movie "                                                                                             
 [2] "action movies typically devoid plot simple byline can string together several explosive sequences suspense movies hinge plot subtlety ability bring everything fullcircle "
 [3] " fans genres however realism key "                                                                                                                                         
 [4] "action fans want know weapons methods heroes using authentic suspense fans want everything fall explainable framework movies end "                                         
 [5] " advice director john frankenheimer island dr "                                                                                                                            
 [6] "moreau strives realism interestingly dynamic balance suspense action latest thriller ronin "                                                                               
 [7] " depth intrigue ronin quite amazing considering fare thats fallen category last years "                                                                                    
 [8] " script written j d zeik bigscreen debut approaches levels complexity people spinning away mission impossible two years ago "                                              
 [9] " certain number people will lost afficianados will appreciate return multiple times "                                                                                      
[10] "frankenheimer masters script poise tells us dark stoically realistic tale group postcold war mercenaries working earn paycheck "                                           
[11] " ability convey feeling character promoting explosiveness tense atmosphere works well ronin becomes better movie "                                                         
[12] "robert de niro headlines cast noteworthies performance outstanding quite time "                                                                                            
[13] " takes command offers much gravity exspy sam man whos called france help shady operations controller named dierdre natascha mcelhone recover package "                     
[14] " package becomes central motivator entire cast especially requisite doublecrossing begins role skillfully penned zeik "                                                    
[15] " times however zeiks tale becomes almost reminiscent mission impossible de niro might easily become tom cruise package might become cruises computer disk "                
[16] "fortunately focus almost entirely package whereas mission script concerned doublecross happened "                                                                          
[17] " action content impressive lives hints given previews "                                                                                                                    
[18] " fans will disappointed expect fullblown combat scenes instead forced suffer moments slowness "                                                                            
[19] "ronin take degree intelligence follow nuance start finish even uninitiated will able keep grasp characters mand subplots "                                                 
[20] " suspense tapers considerably end bit drawback height movies open "                                                                                                        
[21] "considering factors good see ronin project turned well another good bet month "                                                                                            
[22] "since quality usually sparse early fall months definitely worth visit "                                                                                                    
