 [1] "theres something ben stiller makes popular choice among casting directors days "                                                                                                                                                                              
 [2] "stiller currently three projects circulation actor can lay claim "                                                                                                                                                                                            
 [3] "hes theres something mary still havent seen "                                                                                                                                                                                                                 
 [4] " hes acerbic friends neighbors playing talkative sexuallyfrustrated drama coach called jerri "                                                                                                                                                                
 [5] "now theres permanent midnight stiller plays another jerry one heroinaddicted television writer last name stahl "                                                                                                                                              
 [6] "theres also something industry pushes bankable stars like stiller drugaddiction pictures minute theyve proved commercially "                                                                                                                                  
 [7] "ewan mcgregor springs mind successful turns emma brassed received greater respect admiration mindblowing realization renton danny boyles transatlantic junkfest trainspotting "                                                                               
 [8] " philosophy appears simple one want em taken seriously make em drugs "                                                                                                                                                                                        
 [9] " permanent midnight based true life experiences jerry stahl successful hollywood writer mideighties aweek job churning plotlines disposable tv sitcoms aweek heroin habit "                                                                                   
[10] " habit stahls words size utah "                                                                                                                                                                                                                               
[11] " stahl stiller contributes commanding performance "                                                                                                                                                                                                           
[12] "unlike trainspotting successful ways chronicling highs lows heroin abuse permanent midnight instead focuses concept drug addiction maintenance "                                                                                                              
[13] "one earliest observations film casual reference naked lunch author william s burroughs asked shoots first thing morning responds can shave "                                                                                                                  
[14] "stahl rarely appears puncturing veins thrill permanent midnight can talk mother phone show work time even pay bills "                                                                                                                                         
[15] " film occasionally wobbles around along stahl writing adapted stahls autobiography director david veloz controlled pointed "                                                                                                                                  
[16] " permanent midnight shows stahl moved new york l toagain authors words escape drug scene yeah right entered convenient marriage british tv exec elizabeth hurley impossibly polite youd swear single profanity dubbed conceived child random hirings firings "
[17] "stahl narrates motel bedroom sympathetic lover called kitty norristowns maria bello spent rehab time "                                                                                                                                                        
[18] "janeane garofalo wastedand miscastas heavilybespectacled hollywood talent agent fails get hooks dopedup wordsmith thats stahl playing jaded clinic counselor "                                                                                                
[19] "stiller unshaven burroughs take note lots mascara around eyes stahl stumble film looking like train wreck credit never pushes pillpopping needlejabbing performance top "                                                                                     
[20] " ubiquitous stiller reason see permanent midnight dark comic strangely absorbing study assisted living "                                                                                                                                                      
