 [1] " common complaint amongst film critics arent literate scripts available "                                                                                                                           
 [2] "quiz show gives signs hope art writing isnt dead hollywood need look independent films thoughtful content "                                                                                         
 [3] "paul attanasios script takes tepid thriller quiz show scandals late s delivers telling parable emptiness post war american dream golden bubble surrounds protects tv networks sponsors "            
 [4] " film riddled telling symbols e g "                                                                                                                                                                 
 [5] " chrysler radio announcement sputnik never heavy handed "                                                                                                                                           
 [6] "deft direction robert redford keen performances ralph fiennes john turturro rob morrow dovetail perfectly carefully honed script "                                                                  
 [7] "redford departs usually overlight cable tv quality sets camera work common recent th century period pieces "                                                                                        
 [8] "quiz show perfectly captures colors textures eisenhower years "                                                                                                                                     
 [9] "although years old twenty one scandal broke enough s icons survived throughout childhood recognize authenticity redfords almost tangible palette "                                                  
[10] " plastic covered furniture carefully coifed contestants images ring true era rampant consumerism generation gone years depression world war without disposable income manifestation american dream "
[11] " film deftly weaves several themes together assimilation exclusion jews good life lengths scion literary family will go match fathers fame "                                                        
[12] "though s audience rocked scandal may initially seem naive us appear familiar current national passion rise fall icons like michael jackson tonya harding "                                          
[13] "charles van doren herbie stemple overnight mega celebrities day "                                                                                                                                   
[14] " tv audience almost fourth main character always center decisions made behalf "                                                                                                                     
[15] " films end credits roll past slow motion footage s tv audience mindlessly laughing piece fluff "                                                                                                    
[16] "like distorted mirror captured blurred swastika end cabaret mirror may reflect image comfortable "                                                                                                  
