 [1] " want hearty laughs rat race movie "                                                                                                                                                                                                                                                                                                             
 [2] " unpretentious little comedy sneaks theaters today little hype will bouncing theater seat "                                                                                                                                                                                                                                                      
 [3] " film fits neatly lowbrow slapstick school comedy one refreshing aspect lack meanspiritedness "                                                                                                                                                                                                                                                  
 [4] " plot follows group people chosen random eccentric las vegas casino owner john cleese must race vegas bus station locker miles away silver city n m "                                                                                                                                                                                            
 [5] "inside locker duffel bag containing million "                                                                                                                                                                                                                                                                                                    
 [6] " first one open locker gets bag money "                                                                                                                                                                                                                                                                                                          
 [7] " group participants doesnt know cleeses donald sinclair can anything want im eccentric staging race betting game group high rollers hotel "                                                                                                                                                                                                      
 [8] " participants include vera whoopi goldberg merrill lanai chapman newly reunited mother daughter disgraced pro football referee owen templeton cuba gooding jr italian tourist mr pollini rowan atkinson randy pear jon lovitz family bumbling con men duane blaine cody seth green vince vieluf cynical young lawyer nick shaffer breckin meyer "
 [9] "various amusing encounters mishaps befall participants en route silver city "                                                                                                                                                                                                                                                                    
[10] "screenwriter andy breckman adds nice touch racers try sabotage one another "                                                                                                                                                                                                                                                                     
[11] " sidesplitting situations involve vera merrills encounter squirrel lady nice nutsy cameo kathy bates owens commandeering charter bus full lucille ball lookalikes way lucy convention cody brothers misadventures hotair balloon flying cow monster truck pear familys stopover barbie museum turns think "                                      
[12] " pear family situation fine example way breckmans script builds laughs "                                                                                                                                                                                                                                                                         
[13] "without going detail bit segues museum hitlers touring car eva brauns dark lipstick lovitz burning tongue culminating ceremony honoring world war ii veterans "                                                                                                                                                                                  
[14] "rat races cast first rate "                                                                                                                                                                                                                                                                                                                      
[15] "cleese wonderfully devilish madcap lovitz first bit whiny character grows gooding fine romp dave thomas almost steals show cleeses deadpan assistant man born without personality "                                                                                                                                                              
[16] " film directed jerry zucker knows something comedy "                                                                                                                                                                                                                                                                                             
[17] "along brother david friend jim abrahams responsible hits airplane "                                                                                                                                                                                                                                                                              
[18] " ruthless people "                                                                                                                                                                                                                                                                                                                               
[19] " throwaway subplot good laughs features cleese buddies betting series outlandish situations including one dealing hooker peptobismol "                                                                                                                                                                                                           
[20] " fun little feature "                                                                                                                                                                                                                                                                                                                            
[21] " letdown comes finale touchyfeely sweet almost negating came "                                                                                                                                                                                                                                                                                   
[22] "rat race summer sleeper will keep awake will laughter watching around "                                                                                                                                                                                                                                                                          
